restaurant,cuisines,city,longitude,latitude,price,"aggregate rating"
"The Food Hall by Todd English","American, Asian, Italian, Seafood","Taguig City",121.0534998,14.54565535,147.600,4.5
"Chez Michou","Fast Food, French",Bras?lia,-47.88178889,-15.76414167,10.45,3
"Caf刺 Daniel Briand",Cafe,Bras?lia,-47.88266667,-15.7775,5.70,3.8
"Casa do Biscoito Mineiro",Bakery,Bras?lia,-47.88213611,-15.75747222,8.55,3.7
Maori,Brazilian,Bras?lia,-47.88816667,-15.75883333,11.40,3.8
"Pizza 掌 Bessa",Pizza,Bras?lia,-47.91566667,-15.83116667,9.50,3.2
"Sushi Loko",Japanese,Bras?lia,-47.91566667,-15.831,15.20,3.1
Beirute,Arabian,Bras?lia,-47.9075,-15.82,17.10,3.7
"New Koto",Japanese,Bras?lia,-47.91016667,-15.82733333,38.00,3.7
"Sandubas Caf刺","Brazilian, Cafe",Bras?lia,-47.89016667,-15.797,5.70,0
"Villa Tevere",Italian,Bras?lia,-47.92366667,-15.83133333,28.50,4.1
Rovereto,Pizza,Bras?lia,-48.019,-15.83716667,19.00,3.1
"Buena Carne","Bar Food, Brazilian",Bras?lia,-48.01909167,-15.839775,11.40,3.6
"Taco Pep","Mexican, Grill",Bras?lia,-48.01666667,-15.83483333,19.00,4.3
"Coco Bambu",International,Bras?lia,-47.889,-15.7865,43.70,4.2
Tayp暲,"Peruvian, Latin American",Bras?lia,-47.872359,-15.860621,19.00,3.6
"Outback Steakhouse","American, Grill",Bras?lia,-47.95628333,-15.83451389,28.50,4
Manzu暲,Seafood,Bras?lia,-47.87283333,-15.82566667,45.60,3.2
"Coco Bambu",International,Bras?lia,-47.8685,-15.819,43.70,4.9
Gero,Italian,Bras?lia,-47.885812,-15.720118,66.50,3.3
"Brazilian American Burgers","American, Burger",Bras?lia,-47.92102778,-15.79753056,9.50,3.6
"Pesqueiro Eco Gourmet","Seafood, Bar Food, Brazilian","Rio de Janeiro",-43.377,-23.0115,26.60,4
"Confeitaria Colombo","Desserts, Cafe","Rio de Janeiro",-43.178826,-22.905293,19.00,4.8
Bibi,"Juices, Healthy Food","Rio de Janeiro",-43.18669167,-22.97207222,11.40,4.7
Cervantes,"Beverages, Bar Food, Fast Food","Rio de Janeiro",-43.17583333,-22.96216667,17.10,4.5
Amir,Lebanese,"Rio de Janeiro",-43.176,-22.96516667,32.30,4.2
"TT Burger",Burger,"Rio de Janeiro",-43.191,-22.98683333,11.40,4.8
"Braseiro da G暲vea","Brazilian, Bar Food","Rio de Janeiro",-43.227042,-22.973507,19.00,4.9
"Balada Mix","Brazilian, Healthy Food, Juices, Pizza","Rio de Janeiro",-43.211425,-22.98520833,17.10,4.6
"Garota de Ipanema","Brazilian, Bar Food","Rio de Janeiro",-43.203,-22.98533333,22.80,4.9
"Zaz暲 Bistr灼 Tropical",Brazilian,"Rio de Janeiro",-43.20520833,-22.98531944,32.30,4.6
"Fil刺 de Ouro",Brazilian,"Rio de Janeiro",-43.219563,-22.966647,17.10,4.3
"D.O.C Ristorante",Italian,"Rio de Janeiro",-43.34879167,-22.99991111,28.50,4
"Sushi Leblon",Japanese,"Rio de Janeiro",-43.227,-22.98416667,47.50,4.6
"Talho Capixaba","Bakery, Sandwich, Brazilian","Rio de Janeiro",-43.22566667,-22.98516667,22.80,4.4
"Leme Light",Brazilian,"Rio de Janeiro",-43.17279167,-22.963925,7.60,4.2
Shirley,"Brazilian, Seafood","Rio de Janeiro",-43.17126389,-22.96337222,47.50,4.2
"Quiosque Chopp Brahma","Bar Food, Brazilian","Rio de Janeiro",-43.341164,-22.870413,13.30,0
Apraz?vel,Brazilian,"Rio de Janeiro",-43.18736944,-22.92481389,57.00,4.7
"Aconchego Carioca","Brazilian, Bar Food","Rio de Janeiro",-43.21551111,-22.91370833,16.15,4.6
"Garota de Ipanema","Brazilian, Bar Food","Rio de Janeiro",-43.16266667,-22.94783333,15.20,4.3
"Cantina Famiglia Mancini","Italian, Pizza","S粒o Paulo",-46.64516667,-23.55066667,47.50,4.5
"Templo da Carne - Marcos Bassi","Steak, BBQ","S粒o Paulo",-46.64633333,-23.559,47.50,4.4
"Gopala Hari",Indian,"S粒o Paulo",-46.65866667,-23.55616667,13.30,3.1
Jiquitaia,Brazilian,"S粒o Paulo",-46.657523,-23.55671,19.00,4.1
"Skye - Hotel Unique","Beverages, International","S粒o Paulo",-46.666851,-23.581688,57.00,4.8
"Les 3 Brasseurs","French, Brazilian, Beverages","S粒o Paulo",-46.67511,-23.582135,22.80,4.6
"Red Steak & Burger","Brazilian, Grill","S粒o Paulo",-46.683888,-23.585324,14.25,3.9
"Cantinho da Gula",Brazilian,"S粒o Paulo",-46.67566667,-23.581,10.45,0
"Paris 6 Classique",French,"S粒o Paulo",-46.666041,-23.561568,38.00,3.4
"Kawa Sushi","Sushi, Japanese","S粒o Paulo",-46.657418,-23.571638,22.80,3.5
"A Figueira Rubaiyat","BBQ, Grill, Brazilian","S粒o Paulo",-46.66983333,-23.5655,57.00,4.3
Kinoshita,Sushi,"S粒o Paulo",-46.67133333,-23.59233333,43.70,3.9
Meats,"Gourmet Fast Food, Burger","S粒o Paulo",-46.68133333,-23.56483333,22.80,4.3
Paribar,"Brazilian, Italian","S粒o Paulo",-46.64159444,-23.54664167,28.50,4.3
"Terra?o It暲lia",Italian,"S粒o Paulo",-46.643425,-23.545163,76.00,4.4
"Divino Fog粒o","Brazilian, Mineira","S粒o Paulo",-46.63716667,-23.5995,12.35,0
"Super Grill",Brazilian,"S粒o Paulo",-46.698574,-23.622925,9.50,0
"Esquina Mocot?","Brazilian, North Eastern","S粒o Paulo",-46.581672,-23.486535,19.00,4.4
Veloso,"Brazilian, Bar Food, Beverages","S粒o Paulo",-46.63566667,-23.58516667,13.30,4.6
"Sainte Marie Gastronomia","Lebanese, Arabian","S粒o Paulo",-46.746958,-23.609207,22.80,4.1
"Austin's BBQ and Oyster Bar","BBQ, Burger, Seafood",Albany,-84.221535,31.610387,25,3.3
"BJ's Country Buffet","American, BBQ",Albany,-84.207095,31.608743,10,3.3
"Cookie Shoppe",,Albany,-84.154,31.5772,0,3.4
"El Vaquero Mexican Restaurant",Mexican,Albany,-84.2194,31.6158,0,3.4
"Elements Coffee Co - Northwest","Coffee and Tea, Sandwich",Albany,-84.206944,31.622412,10,3.4
"Pearly's Famous Country Cookng",,Albany,-84.1759,31.5882,0,3.4
Chick-fil-A,"Fast Food",Albany,-84.2193,31.616,10,3.5
"Guang Zhou Chinese Restaurant","Asian, Chinese, Vegetarian",Albany,-84.2091458,31.6155186,10,3.9
"Harvest Moon","Pizza, Bar Food, Sandwich",Albany,-84.205718,31.604905,25,3.7
"Henry Campbell's Steakhouse","Steak, Tapas, Bar Food",Albany,-84.223278,31.612121,70,3.5
"Hong Kong Cafe","Chinese, Seafood, Vegetarian",Albany,-84.2191,31.6156,25,3.6
"House of China Restaurant II",Chinese,Albany,-84.212,31.6104,10,3.8
"Jimmie's Hot Dogs",,Albany,-84.1534,31.5751,10,3.9
"Locos Grill & Pub","American, Burger, Sandwich",Albany,-84.2228,31.6077,25,3.5
"Longhorn Steakhouse","American, Steak",Albany,-84.2229,31.6185,25,3.5
"Mikata Japanese Steakhouse","Japanese, Steak, Sushi",Albany,-84.2164,31.6137,40,3.6
"Shogun Japanese Steak House","Japanese, Steak, Sushi",Albany,-84.2233,31.6118,40,3.5
"The Catch Seafood Room & Oyster Bar","Seafood, Tapas, Bar Food",Albany,-84.205025,31.605882,40,3.8
"Villa Gargano","Italian, Pizza",Albany,-84.1757,31.5985,10,3.7
"3 Squares Diner","American, Breakfast, Diner",Albany,-83.8389,31.5308,10,3.4
"Whitebull Hotel","Bar Food, Steak",Armidale,151.6688792,-30.5147169,20,3.5
"Last Resort Grill","American, Southern, Southwestern",Athens,-83.378273,33.957999,40,4.5
"Mama's Boy Restaurant",Southern,Athens,-83.3654,33.9535,10,4.5
"Sr. Sol 1",Mexican,Athens,-83.4293,33.9652,10,4.6
"Choo Choo Eastside","Japanese, Korean",Athens,-83.3389,33.9259,10,3.9
"The Grill","Breakfast, Burger, Sandwich",Athens,-83.375523,33.958198,10,3.7
"Big City Bread Cafe","Breakfast, Sandwich",Athens,-83.384004,33.959392,10,4.3
Clocked,"American, Burger, Sandwich",Athens,-83.3797,33.9584,10,4.2
"DePalma's Italian Cafe - Downtown","American, Italian, Pizza",Athens,-83.373596,33.958112,25,4
"DePalma's Italian Cafe - East Side","American, Italian, Pizza",Athens,-83.33995,33.924275,25,4.1
"Five & Ten",American,Athens,-83.3872482,33.9415545,40,4.3
Grit,"International, Southern, Vegetarian",Athens,-83.381625,33.960112,10,4.2
"Ike & Jane",Sandwich,Athens,-83.400887,33.963296,10,4.1
"La Dolce Vita Ristorante",Italian,Athens,-83.4075,33.9584,40,4.1
Shokitini,"Asian, Japanese, Sushi",Athens,-83.379251,33.957503,25,4.2
"Taqueria Del Sol","Mexican, Spanish",Athens,-83.383605,33.960571,10,4.1
"The National","International, Southern",Athens,-83.37967,33.959468,40,4.1
"The Royal Peasant","Bar Food",Athens,-83.38728,33.937502,10,4.4
Transmetropolitan,"Italian, Pizza, Sandwich",Athens,-83.3764,33.9584,10,4.4
"Trappeze Pub","Burger, Bar Food",Athens,-83.378881,33.958363,25,4.2
"Viva! Argentine Cuisine","Desserts, Latin American, Argentine",Athens,-83.3828224,33.9600227,10,4.1
"Miyabi Kyoto Japanese Steak House","Chinese, Steak",Augusta,-82.0865,33.4721,40,4.6
"Rae's Coastal Cafe","American, Caribbean, Seafood",Augusta,-82.0698,33.4791,40,4.9
"The Bee's Knees","International, Tapas, Vegetarian",Augusta,-81.97,33.4765,25,4.5
"Boll Weevil Cafe","Desserts, Sandwich, Southern",Augusta,-81.9684,33.474,10,3.9
"Farmhaus Burger","American, Burger",Augusta,-81.973006,33.477444,25,3.9
"Manuel's Bread Cafe","Breakfast, French",Augusta,-81.965571,33.481779,40,3.8
"Sconyers Bar B Que",BBQ,Augusta,-82.0327,33.4086,25,3.5
"Frog Hollow Tavern",American,Augusta,-81.974944,33.478231,40,4.3
"Giuseppe's Pizza & Italian Specialities","Desserts, Italian, Pizza",Augusta,-82.096,33.4827,25,4.1
"Mellow Mushroom","Italian, Pizza, Sandwich",Augusta,-81.9721,33.4778,25,4.4
"Nacho Mamas Burritos",Mexican,Augusta,-81.9694,33.4764,10,4
"Rhinehart's Oyster Bar","Bar Food, Sandwich, Seafood",Augusta,-82.0505,33.5133,25,4
Takosushi,"Mexican, Southwestern, Sushi",Augusta,-82.0301,33.4848,40,4.2
"The Chop House",Steak,Augusta,-82.080788,33.467201,40,4
"The Taj of India",Indian,Augusta,-82.0805493,33.5375868,25,4
"Augsburg Haus",German,Augusta,-82.143793,33.544342,25,3.9
"Pho Bac",Vietnamese,Augusta,-82.126161,33.532249,10,4.1
"Rhinehart's Oyster Bar","Burger, Seafood",Augusta,-82.141284,33.521291,25,4
"Thai Kitchen",Thai,Augusta,-82.1328,33.5406,35,4.3
"El Kiosco Mexican Restaurant",Mexican,Augusta,-82.1997,33.4574,10,4.2
"Taste of Balingup","Modern Australian",Balingup,115.9844924,-33.7845269,20,3.2
"Bridge Road Brewers","Pizza, Bar Food",Beechworth,146.685852,-36.360439,20,4.6
Bardenay,"American, Bar Food",Boise,-116.2019,43.6138,25,4.5
"Flatbread Neapolitan Pizzeria","Italian, Pizza",Boise,-116.203466,43.616068,25,4.6
"Goldy's Breakfast Bistro","Breakfast, Sandwich",Boise,-116.2023,43.6149,25,4.5
"Chandlers Steakhouse","American, Seafood, Steak",Boise,-116.2064,43.6157,70,3.9
"Bar Gernika Basque Pub & Eatery","European, Spanish",Boise,-116.2031,43.614,10,4.3
"Barbacoa Restaurant","Latin American, Steak",Boise,-116.185034,43.597235,70,4.1
"Big Jud's","American, Burger, Sandwich",Boise,-116.2062,43.5945,10,4.2
"Bittercreek Ale House","American, Bar Food",Boise,-116.2022,43.6167,25,4.3
"Boise Fry Company","American, Burger",Boise,-116.193409,43.610279,10,4.4
"Flying Pie Pizzaria",Pizza,Boise,-116.2625,43.6192,25,4.1
Fork,"American, Burger",Boise,-116.202845,43.616295,25,4.4
"Guido's Original New York Style Pizza",Pizza,Boise,-116.199,43.615,10,4.3
"Los Beto's",Mexican,Boise,-116.2463,43.6191,10,4.4
"Lucianos Italian Restaurant","Italian, Seafood, Vegetarian",Boise,-116.245165,43.6051379,25,4.4
"Mai Thai Restaurant","Sushi, Thai",Boise,-116.2021,43.6162,40,4
"Shige Japanese Cuisine","Japanese, Sushi, Teriyaki",Boise,-116.2031,43.6156,25,4.1
"The Egg Factory",Breakfast,Boise,-116.281809,43.619274,10,4.3
Tucanos,Brazilian,Boise,-116.280614,43.591706,40,4
"Texas Roadhouse","American, BBQ, Steak",Boise,-116.347304,43.619108,25,4
"Brick 29",American,Boise,-116.5629,43.5777,40,4.4
Winifreds,"American, Mediterranean, Seafood","Cedar Rapids/Iowa City",-91.6336,42.0179,40,3.7
"Biaggi's Ristorante Italiano","Italian, Pizza","Cedar Rapids/Iowa City",-91.6327,42.0281,40,4.1
"El Super Burrito",Mexican,"Cedar Rapids/Iowa City",-91.7148,41.9748,10,4.1
"Granite City Food & Brewery","American, Breakfast, Burger","Cedar Rapids/Iowa City",-91.6224,42.0249,40,4.1
"Irish Democrat","American, BBQ, Burger","Cedar Rapids/Iowa City",-91.6347,42.01,25,4.4
"Taste of India",Indian,"Cedar Rapids/Iowa City",-91.6499622,42.0215347,25,4.2
"Thai Moon Restaurant","Chinese, Sushi, Thai","Cedar Rapids/Iowa City",-91.7266,41.9639,10,4.2
"Ting's Red Lantern",Chinese,"Cedar Rapids/Iowa City",-91.6394,42.0468,10,4.2
Monica's,"American, Italian, Pizza","Cedar Rapids/Iowa City",-91.569767,41.670466,25,3.8
"Exotic India",Indian,"Cedar Rapids/Iowa City",-91.5687,41.6685,25,4.1
"Shorts Burger and Shine",Burger,"Cedar Rapids/Iowa City",-91.534424,41.660982,10,4.9
"The Hamburg Inn No. 2 Inc.","American, Breakfast, Burger","Cedar Rapids/Iowa City",-91.531414,41.663849,10,4.5
"Bluebird Diner","Breakfast, Diner","Cedar Rapids/Iowa City",-91.531093,41.663751,25,3.6
Graze,"American, International, Sushi","Cedar Rapids/Iowa City",-91.534302,41.658691,40,3.8
"A & A Pagliai's Pizza",Pizza,"Cedar Rapids/Iowa City",-91.5314,41.6648,25,4.3
"Atlas World Grill",International,"Cedar Rapids/Iowa City",-91.5341,41.661,40,4.3
BlackStone,"American, Breakfast","Cedar Rapids/Iowa City",-91.482165,41.667742,25,4.1
Devotay,"Mediterranean, Tapas, Vegetarian","Cedar Rapids/Iowa City",-91.5318,41.6625,40,4
"Jimmy Jack's Rib Shack",BBQ,"Cedar Rapids/Iowa City",-91.5074,41.6428,25,4.2
"Zoeys Pizzeria","Pizza, Sandwich","Cedar Rapids/Iowa City",-91.5995,42.0331,25,4.7
"Tokyo Sushi","Japanese, Sushi",Chatham-Kent,-82.188438,42.397683,25,3.7
"Berry Patch Restaurant","American, Breakfast, Desserts",Clatskanie,-123.368151,46.126967,10,4.3
"Sakura Sushi & Grill","Asian, Japanese",Cochrane,-114.472474,51.183934,25,3.1
"Uptown Vietnam cuisine","Asian, Vietnamese",Columbus,-84.992671,32.470315,10,3.3
"Cafe Le Rue @ The Landings","American, Seafood, Cajun",Columbus,-84.95591,32.519247,25,4.6
"Mark's City Grille",American,Columbus,-84.927047,32.555591,25,4.5
"B Merrell's","Burger, Bar Food, Southern",Columbus,-84.9436,32.5577,25,3.8
"Cannon Brewpub","Pizza, Bar Food",Columbus,-84.9936,32.4656,25,3.9
"Fuji Japanese Steak House","Japanese, Steak",Columbus,-84.954984,32.5382197,40,3.9
"Ruth Ann's Family Restaurant","Breakfast, Diner, Southern",Columbus,-84.9876,32.4637,10,3.7
"Samurai Japanese Cuisine & Sushi Bar","Japanese, Steak, Sushi",Columbus,-84.9933631,32.4652417,40,3.6
"Wasabi Sushi and Thai","Japanese, Sushi, Thai",Columbus,-84.96661,32.534002,40,3.7
"Buckhead Bar and Grill","Seafood, Steak, Vegetarian",Columbus,-84.95367,32.513154,40,4.2
"Burt's Butcher Shoppe and Eatery",Steak,Columbus,-84.947569,32.504657,25,4.3
"Chef Lee's Peking Restaurant",Chinese,Columbus,-84.9607,32.5393,25,4
"Country's Barbecue","BBQ, Southern",Columbus,-84.9464,32.4792,25,4
Deorio's,"Italian, Pizza",Columbus,-84.9427,32.481,0,4
"Mellow Mushroom",Pizza,Columbus,-84.9557,32.5321,25,4.1
Meritage,"American, Tapas",Columbus,-84.992093,32.466158,40,4.1
"Mongo The Mongolian Fire Pit","Asian, Chinese",Columbus,-84.938698,32.560905,10,4.2
"The Black Cow",American,Columbus,-84.991384,32.468757,25,4.3
"Wood Stone","Italian, Mediterranean, Pizza",Columbus,-84.963201,32.527217,40,4
"Hunter's Pub","American, Seafood, Steak",Columbus,-85.0213,32.7455,40,4.4
"Consort Restaurant","Chinese, Canadian",Consort,-110.7746994,52.0082889,25,3
"Thatcher's Barbeque and Grill","American, BBQ, Southern",Dalton,-84.9396931,34.5251331,25,3.7
"Christian and Jake's Bistro","Desserts, Sandwich",Dalton,-84.926258,34.474635,10,4.4
"Dub's High on the Hog",BBQ,Dalton,-84.9523921,34.4972488,25,4.4
"Sierra's Mexican Restaurant","Mexican, Tex-Mex",Dalton,-84.767911,34.752476,10,3.9
"Oakwood Cafe","BBQ, Breakfast, Southern",Dalton,-84.969393,34.769686,10,4.9
"Chili's Grill & Bar",American,Dalton,-85.0039,34.7643,25,3.8
"Fuji Japanese Steakhouse","Japanese, Sushi",Dalton,-84.992342,34.759551,40,3.8
"Las Palmas",Mexican,Dalton,-84.992924,34.759665,10,3.8
"Tony's Italian Restaurant & Pizza",Italian,Dalton,-84.999678,34.758645,25,3.7
"Filling Station","American, Burger",Dalton,-84.9678,34.7742,10,4.1
"Five Guys Burgers and Fries","Fast Food",Dalton,-84.990925,34.759273,10,4.1
"Los Pablos",Mexican,Dalton,-84.9964,34.7604,10,4.1
"Kobe Hibachi & Sushi","American, Japanese, Sushi",Dalton,-85.2229101,34.9428786,25,4.6
"Soho Hibachi",Japanese,Dalton,-85.246237,34.9528157,10,4.3
"Thai Garden",Thai,Dalton,-85.2545,34.9546,25,4.2
"Southern Bliss Bakery","Desserts, Sandwich",Dalton,-85.294955,34.705093,10,3.7
"Bailey's Bar-B-Que",BBQ,Dalton,-85.1321,34.9273,10,4.1
"Farm To Fork","American, Diner, Southern",Dalton,-85.130492,34.912109,10,4.3
"Home Plate Grill","American, BBQ, Southern",Dalton,-85.1079396,34.9151853,10,4.2
"Pie Slingers Pizzeria","Italian, Pizza",Dalton,-85.249727,34.851907,10,4.1
"Olive Tree Cafe","Indian, Mediterranean, Middle Eastern",Davenport,-90.496986,41.574935,25,4.6
"Red Ginger Sushi, Grill & Bar","Sushi, Teriyaki",Davenport,-90.522479,41.53845,40,4.5
"Crust Stone Oven Pizza","Burger, Pizza",Davenport,-90.4912446,41.5747801,25,3.9
"Jimmy's Pancake House","American, Breakfast, Greek",Davenport,-90.504176,41.548746,10,4
"Trattoria Tiramisu",Italian,Davenport,-90.50709,41.525384,25,4.1
"Prairie Grille at SteepleGate Inn","American, Breakfast",Davenport,-90.574088,41.593892,25,3.4
"Tantra Asian Bistro",Asian,Davenport,-90.565837,41.574459,25,4.9
Chick-fil-A,"Fast Food",Davenport,-90.5716,41.5604,10,3.9
"Duck City Bistro","American, French",Davenport,-90.5737,41.5223,70,3.7
"Frick's Tap","American, Bar Food, BBQ",Davenport,-90.59466452,41.52253634,25,0
"Los Agaves",Mexican,Davenport,-90.5154313,41.5709434,25,0
Azteca,Mexican,Davenport,-90.5683,41.5699,0,4.3
"China Cafe",Chinese,Davenport,-90.5321,41.5749,25,4
"Exotic Thai Restaurant",Thai,Davenport,-90.5432,41.5747,25,4.1
"Front Street Brewery",American,Davenport,-90.572418,41.520389,10,4.3
"Granite City Food & Brewery",American,Davenport,-90.5137,41.5745,25,4
"Los Agaves",Mexican,Davenport,-90.5686,41.559,25,4.1
"Machine Shed Restaurant",American,Davenport,-90.6136,41.5944,25,4.1
Osaka,"Japanese, Sushi",Davenport,-90.515175,41.570997,40,4.2
"Texas Roadhouse","American, BBQ, Steak",Davenport,-90.517,41.5747,25,4.2
"Hickory Park","BBQ, Burger, Desserts","Des Moines",-93.610084,42.010254,25,4.5
"The Cafe","American, Coffee and Tea","Des Moines",-93.643094,42.048779,25,4.9
"Flying Mango","BBQ, Caribbean, Cajun","Des Moines",-93.677638,41.614965,40,4.5
"Cool Basil","Asian, Sushi, Thai","Des Moines",-93.739573,41.600564,25,4.1
"HuHot Mongolian Grill","Asian, Chinese","Des Moines",-93.760027,41.60028,25,4
Malo,"Latin American, Mexican","Des Moines",-93.627896,41.583309,25,3.2
Centro,"Italian, Pizza","Des Moines",-93.6300803,41.5857431,40,4.5
"Fong's Pizza","Chinese, Pizza","Des Moines",-93.621631,41.585465,25,4.6
"A Dong Restaurant","Asian, Vegetarian, Vietnamese, Bubble Tea","Des Moines",-93.637401,41.587219,10,4.4
"Court Avenue Brewing Company","American, Pizza, Bar Food","Des Moines",-93.620726,41.58536,40,4.2
Django,French,"Des Moines",-93.629436,41.584027,40,4.3
"Miyabi 9","Japanese, Sushi","Des Moines",-93.611366,41.590819,25,4.8
"Zombie Burger + Drink Lab","Burger, Desserts, Vegetarian","Des Moines",-93.61474,41.590106,10,4.2
"Tursi's Latin King","American, Italian","Des Moines",-93.577383,41.601415,70,4.1
"Tsing Tsao South",Chinese,"Des Moines",-93.645245,41.545869,10,4.1
"Bandit Burrito","Breakfast, Mexican, Southwestern","Des Moines",-93.6976773,41.6714654,10,4
"Jethro's BBQ","American, BBQ","Des Moines",-93.659797,41.603901,25,4.3
"The Machine Shed Restaurant","American, Breakfast","Des Moines",-93.772033,41.615083,25,3.8
"Mi Patria","Latin American","Des Moines",-93.73624,41.594039,25,4
"Waterfront Seafood Market","Seafood, Sushi","Des Moines",-93.7441981,41.5991771,40,4.2
"The Giggling Goat","Coffee and Tea, Tea, Modern Australian","Dicky Beach",153.137401,-26.783576,7,3.6
"Burnt Toast Cafe",Breakfast,Dubuque,-90.667668,42.504759,10,3.4
"Catfish Charlie's",Seafood,Dubuque,-90.6499328,42.5124724,25,3.3
"Salsa's Mexican Restaurant",Mexican,Dubuque,-90.6684746,42.5032004,10,3.4
"Tony Roma's","American, BBQ, Seafood",Dubuque,-90.658609,42.496464,25,3.3
"Vinny Vanucchi's",Italian,Dubuque,-90.664029,42.495689,25,3.4
"Champps Americana","American, Burger, Sandwich",Dubuque,-90.715247,42.492018,25,3.5
"Fiesta Cancun",Mexican,Dubuque,-90.740213,42.49092,10,3.6
"Happy Joe's Pizza & Ice Cream","Desserts, Pizza, Ice Cream",Dubuque,-90.7264,42.4955,0,3.5
Houlihan's,"American, Burger",Dubuque,-90.645294,42.516621,25,3.6
"Ichiban Hibachi Steakhouse & Sushi Bar","Japanese, Steak, Sushi",Dubuque,-90.712084,42.492963,40,3.7
"Kalmes Breaktime Bar & Grill","American, Burger",Dubuque,-90.6646,42.5043,25,3.6
"L. May Eatery","International, Pizza",Dubuque,-90.668164,42.503075,40,3.8
"Los Aztecas",Mexican,Dubuque,-90.7055,42.4916,10,3.5
"Manna Java World Cafe","Breakfast, Pizza",Dubuque,-90.6677349,42.500191,10,3.5
"Mario's Italian Restaurant","American, Italian",Dubuque,-90.6691,42.5048,25,3.6
"Pepper Sprout Incorporated",American,Dubuque,-90.6651,42.4974,40,3.6
"Shot Tower Inn","Italian, Pizza",Dubuque,-90.6658,42.4963,25,3.6
"Sunshine Family Restaurant","American, Breakfast, Burger",Dubuque,-90.663686,42.4982789,10,3.5
"Watershed Cafe","American, Burger, Pizza, Cafe",Dubuque,-90.684882,42.527556,25,3.7
"Woodfire Grille","American, Seafood, Steak",Dubuque,-90.658988,42.496378,70,3.6
"The Belle General",Cafe,"East Ballina",153.593331,-28.862663,20,4.1
"Jehova es Mi Pastor Tacos y Burritos",Mexican,Fernley,-119.252694,39.607515,10,3.7
"Flaxton Gardens","Tea, Modern Australian",Flaxton,152.8771473,-26.6521332,30,3.5
"Bespoke Harvest","Cafe, Australian",Forrest,143.714315,-38.517292,20,3.7
"Houndstooth Grill & Tavern","American, Sandwich, Seafood",Gainesville,-83.8461,34.0901,25,4.4
"Hawg Wild BBQ & Catfish House","BBQ, Burger, Seafood",Gainesville,-83.520693,34.61802,10,4.1
"Bourbon Street Grille","American, Burger, Cajun",Gainesville,-83.985353,34.532973,25,3.8
"Corkscrew Cafe",,Gainesville,-83.9858,34.5318,40,3.9
"Smokin Gold BBQ",BBQ,Gainesville,-83.983939,34.533626,10,3.9
"Hoka-Hoka Japanese Steak & Sushi","Chinese, Japanese, Thai",Gainesville,-83.989317,34.541044,10,4.4
"Shenanigan's Irish Pub","Bar Food, Seafood, Vegetarian",Gainesville,-83.986119,34.533198,25,4.1
"Fish Tales Lakeside Grille",Seafood,Gainesville,-83.938024,34.183573,25,3.8
Antebellum,"American, Southern",Gainesville,-83.926217,34.185707,40,4.3
"Moonie's Texas Barbecue","BBQ, Sandwich",Gainesville,-83.927794,34.180043,10,4.1
"Atlanta Highway Seafood Market","Sandwich, Seafood, Cajun",Gainesville,-83.838457,34.285102,25,4.9
"Eat at Thai",Thai,Gainesville,-83.857993,34.300182,10,4.6
"Smoke House BBQ and Catering",BBQ,Gainesville,-83.860098,34.222755,25,3.8
"2 Dog","American, European, Sandwich",Gainesville,-83.824023,34.300567,25,4.2
"Longstreet Cafe",Southern,Gainesville,-83.8272,34.3166,10,4.3
