ym,region,state,category,gender,total_order,canceled_order,canceled_ratio
2020-10,Midwest,IL,"Kids & Baby",M,1,0,0.0000
2020-10,Midwest,IL,"Men's Fashion",F,18,7,38.8889
2020-10,Midwest,IL,"Men's Fashion",M,7,2,28.5714
2020-10,Midwest,IL,"Mobiles & Tablets",F,9,5,55.5556
2020-10,Midwest,IL,"Mobiles & Tablets",M,24,18,75.0000
2020-10,Midwest,IL,Soghaat,F,6,4,66.6667
2020-10,Midwest,IL,Soghaat,M,3,2,66.6667
2020-10,Midwest,IL,Superstore,F,7,4,57.1429
2020-10,Midwest,IL,Superstore,M,2,0,0.0000
2020-10,Midwest,IL,"Women's Fashion",F,11,3,27.2727
2020-10,Midwest,IL,"Women's Fashion",M,4,0,0.0000
2020-10,Midwest,IN,Appliances,M,2,0,0.0000
2020-10,Midwest,IN,"Beauty & Grooming",F,1,0,0.0000
2020-10,Midwest,IN,"Beauty & Grooming",M,2,1,50.0000
2020-10,Midwest,IN,Computing,F,2,1,50.0000
2020-10,Midwest,IN,Entertainment,F,2,1,50.0000
2020-10,Midwest,IN,Entertainment,M,3,2,66.6667
2020-10,Midwest,IN,"Health & Sports",F,1,1,100.0000
2020-10,Midwest,IN,"Health & Sports",M,5,1,20.0000
2020-10,Midwest,IN,"Home & Living",F,4,1,25.0000
2020-10,Midwest,IN,"Home & Living",M,3,1,33.3333
2020-10,Midwest,IN,"Kids & Baby",F,2,1,50.0000
2020-10,Midwest,IN,"Men's Fashion",F,6,2,33.3333
2020-10,Midwest,IN,"Men's Fashion",M,5,2,40.0000
2020-10,Midwest,IN,"Mobiles & Tablets",F,10,6,60.0000
2020-10,Midwest,IN,"Mobiles & Tablets",M,17,10,58.8235
2020-10,Midwest,IN,Soghaat,F,8,5,62.5000
2020-10,Midwest,IN,Superstore,F,1,0,0.0000
2020-10,Midwest,IN,Superstore,M,7,2,28.5714
2020-10,Midwest,IN,"Women's Fashion",F,5,1,20.0000
2020-10,Midwest,IN,"Women's Fashion",M,3,0,0.0000
2020-10,Midwest,KS,Appliances,F,1,0,0.0000
2020-10,Midwest,KS,Appliances,M,3,1,33.3333
2020-10,Midwest,KS,"Beauty & Grooming",F,32,21,65.6250
2020-10,Midwest,KS,"Beauty & Grooming",M,3,2,66.6667
2020-10,Midwest,KS,Books,M,3,0,0.0000
2020-10,Midwest,KS,Entertainment,F,5,5,100.0000
2020-10,Midwest,KS,"Health & Sports",F,1,0,0.0000
2020-10,Midwest,KS,"Health & Sports",M,2,0,0.0000
2020-10,Midwest,KS,"Home & Living",M,2,0,0.0000
2020-10,Midwest,KS,"Kids & Baby",M,1,0,0.0000
2020-10,Midwest,KS,"Men's Fashion",F,12,5,41.6667
2020-10,Midwest,KS,"Men's Fashion",M,3,2,66.6667
2020-10,Midwest,KS,"Mobiles & Tablets",F,18,9,50.0000
2020-10,Midwest,KS,"Mobiles & Tablets",M,5,1,20.0000
2020-10,Midwest,KS,"School & Education",F,3,2,66.6667
2020-10,Midwest,KS,Soghaat,F,38,1,2.6316
2020-10,Midwest,KS,Soghaat,M,1,0,0.0000
2020-10,Midwest,KS,"Women's Fashion",F,12,12,100.0000
2020-10,Midwest,KS,"Women's Fashion",M,3,0,0.0000
2020-10,Midwest,MI,Appliances,F,2,1,50.0000
2020-10,Midwest,MI,Appliances,M,3,2,66.6667
2020-10,Midwest,MI,"Beauty & Grooming",F,4,0,0.0000
2020-10,Midwest,MI,Entertainment,F,4,2,50.0000
2020-10,Midwest,MI,Entertainment,M,4,2,50.0000
2020-10,Midwest,MI,"Health & Sports",F,3,0,0.0000
2020-10,Midwest,MI,"Health & Sports",M,1,0,0.0000
2020-10,Midwest,MI,"Home & Living",F,2,0,0.0000
2020-10,Midwest,MI,"Home & Living",M,1,0,0.0000
2020-10,Midwest,MI,"Kids & Baby",F,1,0,0.0000
2020-10,Midwest,MI,"Men's Fashion",F,8,2,25.0000
2020-10,Midwest,MI,"Men's Fashion",M,12,6,50.0000
2020-10,Midwest,MI,"Mobiles & Tablets",F,16,4,25.0000
2020-10,Midwest,MI,"Mobiles & Tablets",M,19,8,42.1053
2020-10,Midwest,MI,"School & Education",F,1,0,0.0000
2020-10,Midwest,MI,Soghaat,F,1,0,0.0000
2020-10,Midwest,MI,Soghaat,M,1,0,0.0000
2020-10,Midwest,MI,Superstore,F,3,1,33.3333
2020-10,Midwest,MI,Superstore,M,2,0,0.0000
2020-10,Midwest,MI,"Women's Fashion",F,6,1,16.6667
2020-10,Midwest,MI,"Women's Fashion",M,5,3,60.0000
2020-10,Midwest,MN,Appliances,F,3,1,33.3333
2020-10,Midwest,MN,Appliances,M,1,1,100.0000
2020-10,Midwest,MN,"Beauty & Grooming",F,4,1,25.0000
2020-10,Midwest,MN,"Beauty & Grooming",M,5,2,40.0000
2020-10,Midwest,MN,Computing,F,1,0,0.0000
2020-10,Midwest,MN,Entertainment,F,3,3,100.0000
2020-10,Midwest,MN,Entertainment,M,2,2,100.0000
2020-10,Midwest,MN,"Health & Sports",F,4,1,25.0000
2020-10,Midwest,MN,"Health & Sports",M,2,0,0.0000
2020-10,Midwest,MN,"Home & Living",F,2,1,50.0000
2020-10,Midwest,MN,"Kids & Baby",F,1,0,0.0000
2020-10,Midwest,MN,"Kids & Baby",M,1,0,0.0000
2020-10,Midwest,MN,"Men's Fashion",F,5,0,0.0000
2020-10,Midwest,MN,"Men's Fashion",M,11,4,36.3636
2020-10,Midwest,MN,"Mobiles & Tablets",F,20,16,80.0000
2020-10,Midwest,MN,"Mobiles & Tablets",M,6,2,33.3333
2020-10,Midwest,MN,Others,M,1,0,0.0000
2020-10,Midwest,MN,Soghaat,F,2,0,0.0000
2020-10,Midwest,MN,Soghaat,M,3,0,0.0000
2020-10,Midwest,MN,Superstore,F,2,1,50.0000
2020-10,Midwest,MN,"Women's Fashion",F,6,1,16.6667
2020-10,Midwest,MN,"Women's Fashion",M,8,5,62.5000
2020-10,Midwest,MO,Appliances,F,3,3,100.0000
2020-10,Midwest,MO,Appliances,M,17,13,76.4706
2020-10,Midwest,MO,"Beauty & Grooming",F,2,0,0.0000
2020-10,Midwest,MO,"Beauty & Grooming",M,11,3,27.2727
2020-10,Midwest,MO,Entertainment,F,4,2,50.0000
2020-10,Midwest,MO,Entertainment,M,2,2,100.0000
2020-10,Midwest,MO,"Health & Sports",M,3,0,0.0000
2020-10,Midwest,MO,"Home & Living",F,1,0,0.0000
2020-10,Midwest,MO,"Home & Living",M,4,1,25.0000
2020-10,Midwest,MO,"Kids & Baby",F,1,0,0.0000
2020-10,Midwest,MO,"Kids & Baby",M,3,1,33.3333
2020-10,Midwest,MO,"Men's Fashion",F,4,0,0.0000
2020-10,Midwest,MO,"Men's Fashion",M,9,2,22.2222
2020-10,Midwest,MO,"Mobiles & Tablets",F,22,13,59.0909
2020-10,Midwest,MO,"Mobiles & Tablets",M,10,6,60.0000
2020-10,Midwest,MO,"School & Education",M,2,1,50.0000
2020-10,Midwest,MO,Soghaat,F,7,1,14.2857
2020-10,Midwest,MO,Soghaat,M,4,0,0.0000
2020-10,Midwest,MO,Superstore,M,1,1,100.0000
2020-10,Midwest,MO,"Women's Fashion",F,2,0,0.0000
2020-10,Midwest,MO,"Women's Fashion",M,6,1,16.6667
2020-10,Midwest,ND,Appliances,F,5,3,60.0000
2020-10,Midwest,ND,Appliances,M,5,2,40.0000
2020-10,Midwest,ND,Books,F,1,0,0.0000
2020-10,Midwest,ND,Entertainment,F,5,5,100.0000
2020-10,Midwest,ND,"Health & Sports",F,2,0,0.0000
2020-10,Midwest,ND,"Health & Sports",M,1,0,0.0000
2020-10,Midwest,ND,"Home & Living",F,1,0,0.0000
2020-10,Midwest,ND,"Home & Living",M,1,0,0.0000
2020-10,Midwest,ND,"Kids & Baby",M,2,1,50.0000
2020-10,Midwest,ND,"Men's Fashion",F,1,0,0.0000
2020-10,Midwest,ND,"Men's Fashion",M,1,0,0.0000
2020-10,Midwest,ND,"Mobiles & Tablets",F,3,1,33.3333
2020-10,Midwest,ND,"Mobiles & Tablets",M,5,2,40.0000
2020-10,Midwest,ND,Others,M,1,0,0.0000
2020-10,Midwest,ND,"School & Education",F,1,0,0.0000
2020-10,Midwest,ND,Soghaat,F,1,0,0.0000
2020-10,Midwest,ND,Soghaat,M,1,0,0.0000
2020-10,Midwest,ND,Superstore,M,1,0,0.0000
2020-10,Midwest,ND,"Women's Fashion",F,3,0,0.0000
2020-10,Midwest,ND,"Women's Fashion",M,7,3,42.8571
2020-10,Midwest,NE,"Beauty & Grooming",M,10,7,70.0000
2020-10,Midwest,NE,Books,M,1,0,0.0000
2020-10,Midwest,NE,Computing,F,3,2,66.6667
2020-10,Midwest,NE,"Health & Sports",F,4,0,0.0000
2020-10,Midwest,NE,"Health & Sports",M,1,0,0.0000
2020-10,Midwest,NE,"Kids & Baby",M,6,4,66.6667
2020-10,Midwest,NE,"Men's Fashion",F,6,0,0.0000
2020-10,Midwest,NE,"Men's Fashion",M,17,10,58.8235
2020-10,Midwest,NE,"Mobiles & Tablets",F,3,0,0.0000
2020-10,Midwest,NE,"Mobiles & Tablets",M,10,7,70.0000
2020-10,Midwest,NE,"School & Education",M,1,1,100.0000
2020-10,Midwest,NE,Soghaat,F,1,0,0.0000
2020-10,Midwest,NE,Soghaat,M,1,0,0.0000
2020-10,Midwest,NE,Superstore,M,2,1,50.0000
2020-10,Midwest,NE,"Women's Fashion",F,3,1,33.3333
2020-10,Midwest,NE,"Women's Fashion",M,23,17,73.9130
2020-10,Midwest,OH,Appliances,F,5,3,60.0000
2020-10,Midwest,OH,Appliances,M,2,1,50.0000
2020-10,Midwest,OH,"Beauty & Grooming",F,10,5,50.0000
2020-10,Midwest,OH,"Beauty & Grooming",M,4,3,75.0000
2020-10,Midwest,OH,Computing,F,1,0,0.0000
2020-10,Midwest,OH,Computing,M,1,0,0.0000
2020-10,Midwest,OH,Entertainment,F,3,1,33.3333
2020-10,Midwest,OH,Entertainment,M,3,3,100.0000
2020-10,Midwest,OH,"Health & Sports",F,1,0,0.0000
2020-10,Midwest,OH,"Health & Sports",M,2,0,0.0000
2020-10,Midwest,OH,"Home & Living",F,3,2,66.6667
2020-10,Midwest,OH,"Kids & Baby",F,3,2,66.6667
2020-10,Midwest,OH,"Kids & Baby",M,2,1,50.0000
2020-10,Midwest,OH,"Men's Fashion",F,13,2,15.3846
2020-10,Midwest,OH,"Men's Fashion",M,3,0,0.0000
2020-10,Midwest,OH,"Mobiles & Tablets",F,19,12,63.1579
2020-10,Midwest,OH,"Mobiles & Tablets",M,26,13,50.0000
2020-10,Midwest,OH,"School & Education",F,2,2,100.0000
2020-10,Midwest,OH,Soghaat,F,2,0,0.0000
2020-10,Midwest,OH,Soghaat,M,2,0,0.0000
2020-10,Midwest,OH,Superstore,M,1,0,0.0000
2020-10,Midwest,OH,"Women's Fashion",F,19,9,47.3684
2020-10,Midwest,OH,"Women's Fashion",M,10,3,30.0000
2020-10,Midwest,SD,Appliances,F,2,0,0.0000
2020-10,Midwest,SD,Appliances,M,2,2,100.0000
2020-10,Midwest,SD,Computing,F,2,0,0.0000
2020-10,Midwest,SD,Computing,M,1,1,100.0000
2020-10,Midwest,SD,Entertainment,F,5,4,80.0000
2020-10,Midwest,SD,Entertainment,M,1,1,100.0000
2020-10,Midwest,SD,"Health & Sports",F,1,1,100.0000
2020-10,Midwest,SD,"Health & Sports",M,3,2,66.6667
2020-10,Midwest,SD,"Home & Living",M,9,8,88.8889
2020-10,Midwest,SD,"Kids & Baby",M,1,1,100.0000
2020-10,Midwest,SD,"Men's Fashion",M,3,1,33.3333
2020-10,Midwest,SD,"Mobiles & Tablets",F,8,3,37.5000
2020-10,Midwest,SD,"Mobiles & Tablets",M,4,2,50.0000
2020-10,Midwest,SD,Soghaat,M,1,0,0.0000
2020-10,Midwest,SD,Superstore,F,2,1,50.0000
2020-10,Midwest,SD,Superstore,M,2,2,100.0000
2020-10,Midwest,SD,"Women's Fashion",F,5,4,80.0000
2020-10,Midwest,SD,"Women's Fashion",M,1,0,0.0000
2020-10,Midwest,WI,Appliances,F,2,1,50.0000
2020-10,Midwest,WI,Appliances,M,2,1,50.0000
2020-10,Midwest,WI,"Beauty & Grooming",F,3,2,66.6667
2020-10,Midwest,WI,Entertainment,F,1,1,100.0000
2020-10,Midwest,WI,Entertainment,M,2,1,50.0000
2020-10,Midwest,WI,"Health & Sports",F,2,2,100.0000
2020-10,Midwest,WI,"Health & Sports",M,1,0,0.0000
2020-10,Midwest,WI,"Home & Living",F,4,2,50.0000
2020-10,Midwest,WI,"Kids & Baby",F,3,0,0.0000
2020-10,Midwest,WI,"Men's Fashion",F,4,2,50.0000
2020-10,Midwest,WI,"Men's Fashion",M,4,1,25.0000
2020-10,Midwest,WI,"Mobiles & Tablets",F,3,2,66.6667
2020-10,Midwest,WI,"Mobiles & Tablets",M,17,10,58.8235
2020-10,Midwest,WI,Soghaat,F,1,0,0.0000
2020-10,Midwest,WI,Soghaat,M,2,2,100.0000
2020-10,Midwest,WI,Superstore,M,1,0,0.0000
2020-10,Midwest,WI,"Women's Fashion",F,2,0,0.0000
2020-10,Midwest,WI,"Women's Fashion",M,3,2,66.6667
2020-10,Northeast,CT,Appliances,F,7,6,85.7143
2020-10,Northeast,CT,Appliances,M,4,3,75.0000
2020-10,Northeast,CT,"Beauty & Grooming",F,1,0,0.0000
2020-10,Northeast,CT,"Beauty & Grooming",M,2,0,0.0000
2020-10,Northeast,CT,Entertainment,M,4,2,50.0000
2020-10,Northeast,CT,"Health & Sports",F,2,0,0.0000
2020-10,Northeast,CT,"Health & Sports",M,1,0,0.0000
2020-10,Northeast,CT,"Kids & Baby",F,2,1,50.0000
2020-10,Northeast,CT,"Men's Fashion",F,1,0,0.0000
2020-10,Northeast,CT,"Men's Fashion",M,6,1,16.6667
2020-10,Northeast,CT,"Mobiles & Tablets",F,5,0,0.0000
2020-10,Northeast,CT,"Mobiles & Tablets",M,5,1,20.0000
2020-10,Northeast,CT,Soghaat,F,1,0,0.0000
2020-10,Northeast,CT,Superstore,F,1,0,0.0000
2020-10,Northeast,CT,Superstore,M,1,0,0.0000
2020-10,Northeast,CT,"Women's Fashion",F,3,2,66.6667
2020-10,Northeast,CT,"Women's Fashion",M,4,2,50.0000
2020-10,Northeast,MA,Appliances,F,2,1,50.0000
2020-10,Northeast,MA,Appliances,M,4,3,75.0000
2020-10,Northeast,MA,"Beauty & Grooming",F,4,1,25.0000
2020-10,Northeast,MA,"Beauty & Grooming",M,1,1,100.0000
2020-10,Northeast,MA,Computing,F,1,1,100.0000
2020-10,Northeast,MA,Entertainment,M,2,2,100.0000
2020-10,Northeast,MA,"Health & Sports",F,2,0,0.0000
2020-10,Northeast,MA,"Health & Sports",M,2,0,0.0000
2020-10,Northeast,MA,"Home & Living",F,5,4,80.0000
2020-10,Northeast,MA,"Home & Living",M,3,2,66.6667
2020-10,Northeast,MA,"Kids & Baby",F,1,0,0.0000
2020-10,Northeast,MA,"Men's Fashion",F,11,3,27.2727
2020-10,Northeast,MA,"Men's Fashion",M,8,3,37.5000
2020-10,Northeast,MA,"Mobiles & Tablets",F,23,17,73.9130
2020-10,Northeast,MA,"Mobiles & Tablets",M,12,10,83.3333
2020-10,Northeast,MA,Soghaat,F,2,0,0.0000
2020-10,Northeast,MA,Superstore,F,1,0,0.0000
2020-10,Northeast,MA,"Women's Fashion",F,3,1,33.3333
2020-10,Northeast,MA,"Women's Fashion",M,3,2,66.6667
2020-10,Northeast,ME,Appliances,M,3,3,100.0000
2020-10,Northeast,ME,"Beauty & Grooming",F,1,0,0.0000
2020-10,Northeast,ME,"Beauty & Grooming",M,1,0,0.0000
2020-10,Northeast,ME,"Health & Sports",F,1,0,0.0000
2020-10,Northeast,ME,"Home & Living",F,1,0,0.0000
2020-10,Northeast,ME,"Kids & Baby",M,1,0,0.0000
2020-10,Northeast,ME,"Men's Fashion",F,2,1,50.0000
2020-10,Northeast,ME,"Men's Fashion",M,12,11,91.6667
2020-10,Northeast,ME,"Mobiles & Tablets",F,4,3,75.0000
2020-10,Northeast,ME,"Mobiles & Tablets",M,5,1,20.0000
2020-10,Northeast,ME,Superstore,F,1,0,0.0000
2020-10,Northeast,ME,"Women's Fashion",F,1,0,0.0000
2020-10,Northeast,ME,"Women's Fashion",M,3,0,0.0000
2020-10,Northeast,NH,Appliances,M,5,4,80.0000
2020-10,Northeast,NH,"Beauty & Grooming",M,3,3,100.0000
2020-10,Northeast,NH,Computing,M,1,1,100.0000
2020-10,Northeast,NH,"Health & Sports",M,1,1,100.0000
2020-10,Northeast,NH,"Home & Living",M,5,5,100.0000
2020-10,Northeast,NH,"Kids & Baby",M,2,2,100.0000
2020-10,Northeast,NH,"Men's Fashion",F,2,0,0.0000
2020-10,Northeast,NH,"Men's Fashion",M,4,2,50.0000
2020-10,Northeast,NH,"Mobiles & Tablets",F,1,0,0.0000
2020-10,Northeast,NH,"Mobiles & Tablets",M,8,5,62.5000
2020-10,Northeast,NH,Soghaat,M,1,1,100.0000
2020-10,Northeast,NH,Superstore,M,1,1,100.0000
2020-10,Northeast,NH,"Women's Fashion",M,5,4,80.0000
2020-10,Northeast,NJ,Appliances,F,2,1,50.0000
2020-10,Northeast,NJ,Appliances,M,7,5,71.4286
2020-10,Northeast,NJ,"Beauty & Grooming",F,5,1,20.0000
2020-10,Northeast,NJ,"Beauty & Grooming",M,1,1,100.0000
2020-10,Northeast,NJ,Books,F,1,0,0.0000
2020-10,Northeast,NJ,"Health & Sports",F,2,0,0.0000
2020-10,Northeast,NJ,"Men's Fashion",F,3,1,33.3333
2020-10,Northeast,NJ,"Men's Fashion",M,7,0,0.0000
2020-10,Northeast,NJ,"Mobiles & Tablets",F,1,1,100.0000
2020-10,Northeast,NJ,"Mobiles & Tablets",M,10,5,50.0000
2020-10,Northeast,NJ,Soghaat,M,1,0,0.0000
2020-10,Northeast,NJ,Superstore,M,2,1,50.0000
2020-10,Northeast,NJ,"Women's Fashion",F,1,0,0.0000
2020-10,Northeast,NJ,"Women's Fashion",M,3,1,33.3333
2020-10,Northeast,NY,Appliances,F,11,3,27.2727
2020-10,Northeast,NY,Appliances,M,8,7,87.5000
2020-10,Northeast,NY,"Beauty & Grooming",F,3,1,33.3333
2020-10,Northeast,NY,"Beauty & Grooming",M,10,4,40.0000
2020-10,Northeast,NY,Books,F,1,0,0.0000
2020-10,Northeast,NY,Computing,F,1,0,0.0000
2020-10,Northeast,NY,Computing,M,2,0,0.0000
2020-10,Northeast,NY,Entertainment,F,11,8,72.7273
2020-10,Northeast,NY,Entertainment,M,4,4,100.0000
2020-10,Northeast,NY,"Health & Sports",F,2,0,0.0000
2020-10,Northeast,NY,"Health & Sports",M,3,0,0.0000
2020-10,Northeast,NY,"Home & Living",F,4,0,0.0000
2020-10,Northeast,NY,"Home & Living",M,3,1,33.3333
2020-10,Northeast,NY,"Kids & Baby",F,1,0,0.0000
2020-10,Northeast,NY,"Kids & Baby",M,2,2,100.0000
2020-10,Northeast,NY,"Men's Fashion",F,10,2,20.0000
2020-10,Northeast,NY,"Men's Fashion",M,30,18,60.0000
2020-10,Northeast,NY,"Mobiles & Tablets",F,41,22,53.6585
2020-10,Northeast,NY,"Mobiles & Tablets",M,29,21,72.4138
2020-10,Northeast,NY,Others,M,1,0,0.0000
2020-10,Northeast,NY,"School & Education",F,1,0,0.0000
2020-10,Northeast,NY,"School & Education",M,2,1,50.0000
2020-10,Northeast,NY,Soghaat,F,1,0,0.0000
2020-10,Northeast,NY,Soghaat,M,8,3,37.5000
2020-10,Northeast,NY,Superstore,M,12,4,33.3333
2020-10,Northeast,NY,"Women's Fashion",F,4,0,0.0000
2020-10,Northeast,NY,"Women's Fashion",M,5,1,20.0000
2020-10,Northeast,PA,Appliances,F,3,3,100.0000
2020-10,Northeast,PA,Appliances,M,6,5,83.3333
2020-10,Northeast,PA,"Beauty & Grooming",F,5,0,0.0000
2020-10,Northeast,PA,"Beauty & Grooming",M,5,2,40.0000
2020-10,Northeast,PA,Books,M,2,0,0.0000
2020-10,Northeast,PA,Computing,F,2,0,0.0000
2020-10,Northeast,PA,Computing,M,1,0,0.0000
2020-10,Northeast,PA,Entertainment,F,5,2,40.0000
2020-10,Northeast,PA,Entertainment,M,7,5,71.4286
2020-10,Northeast,PA,"Health & Sports",F,3,2,66.6667
2020-10,Northeast,PA,"Health & Sports",M,2,1,50.0000
2020-10,Northeast,PA,"Home & Living",F,2,1,50.0000
2020-10,Northeast,PA,"Home & Living",M,3,0,0.0000
2020-10,Northeast,PA,"Kids & Baby",M,4,1,25.0000
2020-10,Northeast,PA,"Men's Fashion",F,10,4,40.0000
2020-10,Northeast,PA,"Men's Fashion",M,28,19,67.8571
2020-10,Northeast,PA,"Mobiles & Tablets",F,42,31,73.8095
2020-10,Northeast,PA,"Mobiles & Tablets",M,73,54,73.9726
2020-10,Northeast,PA,Soghaat,F,4,1,25.0000
2020-10,Northeast,PA,Soghaat,M,7,3,42.8571
2020-10,Northeast,PA,Superstore,F,7,5,71.4286
2020-10,Northeast,PA,Superstore,M,5,1,20.0000
2020-10,Northeast,PA,"Women's Fashion",F,13,5,38.4615
2020-10,Northeast,PA,"Women's Fashion",M,7,0,0.0000
2020-10,Northeast,RI,"Mobiles & Tablets",M,1,1,100.0000
2020-10,Northeast,VT,Appliances,F,2,0,0.0000
2020-10,Northeast,VT,Computing,M,10,10,100.0000
2020-10,Northeast,VT,Entertainment,M,2,2,100.0000
2020-10,Northeast,VT,"Health & Sports",F,1,0,0.0000
2020-10,Northeast,VT,"Men's Fashion",F,3,1,33.3333
2020-10,Northeast,VT,"Men's Fashion",M,1,0,0.0000
2020-10,Northeast,VT,"Mobiles & Tablets",F,18,8,44.4444
2020-10,Northeast,VT,"Mobiles & Tablets",M,2,1,50.0000
2020-10,Northeast,VT,"School & Education",M,1,0,0.0000
2020-10,Northeast,VT,Soghaat,F,1,0,0.0000
2020-10,Northeast,VT,"Women's Fashion",F,1,0,0.0000
2020-10,Northeast,VT,"Women's Fashion",M,1,0,0.0000
2020-10,South,AL,Appliances,F,1,1,100.0000
2020-10,South,AL,Appliances,M,1,1,100.0000
2020-10,South,AL,"Beauty & Grooming",F,3,0,0.0000
2020-10,South,AL,"Beauty & Grooming",M,2,1,50.0000
2020-10,South,AL,Computing,F,1,1,100.0000
2020-10,South,AL,Computing,M,2,1,50.0000
2020-10,South,AL,Entertainment,F,3,1,33.3333
2020-10,South,AL,"Health & Sports",F,1,0,0.0000
2020-10,South,AL,"Health & Sports",M,1,0,0.0000
2020-10,South,AL,"Home & Living",F,2,0,0.0000
2020-10,South,AL,"Home & Living",M,4,1,25.0000
2020-10,South,AL,"Kids & Baby",M,1,0,0.0000
2020-10,South,AL,"Men's Fashion",F,8,1,12.5000
2020-10,South,AL,"Men's Fashion",M,4,3,75.0000
2020-10,South,AL,"Mobiles & Tablets",F,16,13,81.2500
2020-10,South,AL,"Mobiles & Tablets",M,12,6,50.0000
2020-10,South,AL,Others,M,1,0,0.0000
2020-10,South,AL,Soghaat,F,2,1,50.0000
2020-10,South,AL,Superstore,F,3,0,0.0000
2020-10,South,AL,"Women's Fashion",F,2,0,0.0000
2020-10,South,AL,"Women's Fashion",M,4,1,25.0000
2020-10,South,AR,Appliances,F,12,11,91.6667
2020-10,South,AR,Appliances,M,2,1,50.0000
2020-10,South,AR,"Beauty & Grooming",F,7,4,57.1429
2020-10,South,AR,"Beauty & Grooming",M,4,0,0.0000
2020-10,South,AR,Books,F,1,0,0.0000
2020-10,South,AR,Entertainment,F,2,2,100.0000
2020-10,South,AR,Entertainment,M,4,2,50.0000
2020-10,South,AR,"Health & Sports",F,2,0,0.0000
2020-10,South,AR,"Health & Sports",M,1,0,0.0000
2020-10,South,AR,"Home & Living",F,3,1,33.3333
2020-10,South,AR,"Home & Living",M,1,0,0.0000
2020-10,South,AR,"Kids & Baby",F,2,0,0.0000
2020-10,South,AR,"Men's Fashion",F,5,1,20.0000
2020-10,South,AR,"Men's Fashion",M,9,1,11.1111
2020-10,South,AR,"Mobiles & Tablets",F,14,7,50.0000
2020-10,South,AR,"Mobiles & Tablets",M,23,11,47.8261
2020-10,South,AR,"School & Education",F,2,1,50.0000
2020-10,South,AR,"School & Education",M,1,1,100.0000
2020-10,South,AR,Soghaat,F,2,1,50.0000
2020-10,South,AR,Soghaat,M,2,0,0.0000
2020-10,South,AR,Superstore,M,1,0,0.0000
2020-10,South,AR,"Women's Fashion",F,10,2,20.0000
2020-10,South,AR,"Women's Fashion",M,6,1,16.6667
2020-10,South,DC,Appliances,M,1,0,0.0000
2020-10,South,DC,"Beauty & Grooming",M,3,2,66.6667
2020-10,South,DC,"Health & Sports",M,1,0,0.0000
2020-10,South,DC,"Home & Living",M,1,0,0.0000
2020-10,South,DC,"Kids & Baby",M,1,0,0.0000
2020-10,South,DC,"Men's Fashion",M,3,1,33.3333
2020-10,South,DC,"Mobiles & Tablets",F,5,2,40.0000
2020-10,South,DC,"Mobiles & Tablets",M,21,21,100.0000
2020-10,South,DC,Soghaat,M,1,0,0.0000
2020-10,South,DC,"Women's Fashion",M,1,0,0.0000
2020-10,South,DE,Computing,F,1,1,100.0000
2020-10,South,DE,"Mobiles & Tablets",F,4,4,100.0000
2020-10,South,DE,"Mobiles & Tablets",M,1,0,0.0000
2020-10,South,FL,Appliances,F,11,7,63.6364
2020-10,South,FL,Appliances,M,11,8,72.7273
2020-10,South,FL,"Beauty & Grooming",F,2,1,50.0000
2020-10,South,FL,"Beauty & Grooming",M,3,1,33.3333
2020-10,South,FL,Computing,M,2,1,50.0000
