ym,region,state,gender,category,order_cnt
2020-10,Northeast,ME,F,"Mobiles & Tablets",3
2020-10,Northeast,ME,M,Appliances,3
2020-10,Northeast,ME,M,"Men's Fashion",11
2020-10,Northeast,ME,M,"Mobiles & Tablets",1
2020-10,Northeast,NH,M,Appliances,4
2020-10,Northeast,NH,M,"Beauty & Grooming",3
2020-10,Northeast,NH,M,Computing,1
2020-10,Northeast,NH,M,"Health & Sports",1
2020-10,Northeast,NH,M,"Home & Living",5
2020-10,Northeast,NH,M,"Kids & Baby",2
2020-10,Northeast,NH,M,"Men's Fashion",2
2020-10,Northeast,NH,M,"Mobiles & Tablets",5
2020-10,Northeast,NH,M,Soghaat,1
2020-10,Northeast,NH,M,Superstore,1
2020-10,Northeast,NH,M,"Women's Fashion",4
2020-10,Northeast,NJ,F,Appliances,1
2020-10,Northeast,NJ,F,"Beauty & Grooming",1
2020-10,Northeast,NJ,F,"Men's Fashion",1
2020-10,Northeast,NJ,F,"Mobiles & Tablets",1
2020-10,Northeast,NJ,M,Appliances,5
2020-10,Northeast,NJ,M,"Beauty & Grooming",1
2020-10,Northeast,NJ,M,"Mobiles & Tablets",5
2020-10,Northeast,NJ,M,Superstore,1
2020-10,Northeast,NJ,M,"Women's Fashion",1
2020-10,Northeast,NY,F,Appliances,3
2020-10,Northeast,NY,F,"Beauty & Grooming",1
2020-10,Northeast,NY,F,Entertainment,8
2020-10,Northeast,NY,F,"Men's Fashion",2
2020-10,Northeast,NY,F,"Mobiles & Tablets",22
2020-10,Northeast,NY,M,Appliances,7
2020-10,Northeast,NY,M,"Beauty & Grooming",4
2020-10,Northeast,NY,M,Entertainment,4
2020-10,Northeast,NY,M,"Home & Living",1
2020-10,Northeast,NY,M,"Kids & Baby",2
2020-10,Northeast,NY,M,"Men's Fashion",18
2020-10,Northeast,NY,M,"Mobiles & Tablets",21
2020-10,Northeast,NY,M,"School & Education",1
2020-10,Northeast,NY,M,Soghaat,3
2020-10,Northeast,NY,M,Superstore,4
2020-10,Northeast,NY,M,"Women's Fashion",1
2020-10,Northeast,PA,F,Appliances,3
2020-10,Northeast,PA,F,Entertainment,2
2020-10,Northeast,PA,F,"Health & Sports",2
2020-10,Northeast,PA,F,"Home & Living",1
2020-10,Northeast,PA,F,"Men's Fashion",4
2020-10,Northeast,PA,F,"Mobiles & Tablets",31
2020-10,Northeast,PA,F,Soghaat,1
2020-10,Northeast,PA,F,Superstore,5
2020-10,Northeast,PA,F,"Women's Fashion",5
2020-10,Northeast,PA,M,Appliances,5
2020-10,Northeast,PA,M,"Beauty & Grooming",2
2020-10,Northeast,PA,M,Entertainment,5
2020-10,Northeast,PA,M,"Health & Sports",1
2020-10,Northeast,PA,M,"Kids & Baby",1
2020-10,Northeast,PA,M,"Men's Fashion",19
2020-10,Northeast,PA,M,"Mobiles & Tablets",54
2020-10,Northeast,PA,M,Soghaat,3
2020-10,Northeast,PA,M,Superstore,1
2020-10,Northeast,RI,M,"Mobiles & Tablets",1
2020-10,Northeast,VT,F,"Men's Fashion",1
2020-10,Northeast,VT,F,"Mobiles & Tablets",8
2020-10,Northeast,VT,M,Computing,10
2020-10,Northeast,VT,M,Entertainment,2
2020-10,Northeast,VT,M,"Mobiles & Tablets",1
2020-10,South,AL,F,Appliances,1
2020-10,South,AL,F,Computing,1
2020-10,South,AL,F,Entertainment,1
2020-10,South,AL,F,"Men's Fashion",1
2020-10,South,AL,F,"Mobiles & Tablets",13
2020-10,South,AL,F,Soghaat,1
2020-10,South,AL,M,Appliances,1
2020-10,South,AL,M,"Beauty & Grooming",1
2020-10,South,AL,M,Computing,1
2020-10,South,AL,M,"Home & Living",1
2020-10,South,AL,M,"Men's Fashion",3
2020-10,South,AL,M,"Mobiles & Tablets",6
2020-10,South,AL,M,"Women's Fashion",1
2020-10,South,AR,F,Appliances,11
2020-10,South,AR,F,"Beauty & Grooming",4
2020-10,South,AR,F,Entertainment,2
2020-10,South,AR,F,"Home & Living",1
2020-10,South,AR,F,"Men's Fashion",1
2020-10,South,AR,F,"Mobiles & Tablets",7
2020-10,South,AR,F,"School & Education",1
2020-10,South,AR,F,Soghaat,1
2020-10,South,AR,F,"Women's Fashion",2
2020-10,South,AR,M,Appliances,1
2020-10,South,AR,M,Entertainment,2
2020-10,South,AR,M,"Men's Fashion",1
2020-10,South,AR,M,"Mobiles & Tablets",11
2020-10,South,AR,M,"School & Education",1
2020-10,South,AR,M,"Women's Fashion",1
2020-10,South,DC,F,"Mobiles & Tablets",2
2020-10,South,DC,M,"Beauty & Grooming",2
2020-10,South,DC,M,"Men's Fashion",1
2020-10,South,DC,M,"Mobiles & Tablets",21
2020-10,South,DE,F,Computing,1
2020-10,South,DE,F,"Mobiles & Tablets",4
2020-10,South,FL,F,Appliances,7
2020-10,South,FL,F,"Beauty & Grooming",1
2020-10,South,FL,F,Entertainment,15
2020-10,South,FL,F,"Health & Sports",1
2020-10,South,FL,F,"Home & Living",2
2020-10,South,FL,F,"Men's Fashion",4
2020-10,South,FL,F,"Mobiles & Tablets",19
2020-10,South,FL,F,Superstore,3
2020-10,South,FL,F,"Women's Fashion",1
2020-10,South,FL,M,Appliances,8
2020-10,South,FL,M,"Beauty & Grooming",1
2020-10,South,FL,M,Computing,1
2020-10,South,FL,M,Entertainment,2
2020-10,South,FL,M,"Home & Living",1
2020-10,South,FL,M,"Men's Fashion",1
2020-10,South,FL,M,"Mobiles & Tablets",12
2020-10,South,FL,M,Soghaat,1
2020-10,South,FL,M,"Women's Fashion",2
2020-10,South,GA,F,Appliances,1
2020-10,South,GA,F,"Beauty & Grooming",1
2020-10,South,GA,F,Entertainment,4
2020-10,South,GA,F,"Home & Living",1
2020-10,South,GA,F,"Men's Fashion",1
2020-10,South,GA,F,"Mobiles & Tablets",7
2020-10,South,GA,F,Soghaat,1
2020-10,South,GA,F,Superstore,1
2020-10,South,GA,M,"Beauty & Grooming",1
2020-10,South,GA,M,Entertainment,2
2020-10,South,GA,M,"Men's Fashion",1
2020-10,South,GA,M,"Mobiles & Tablets",11
2020-10,South,GA,M,"Women's Fashion",3
2020-10,South,KY,F,Appliances,11
2020-10,South,KY,F,Entertainment,2
2020-10,South,KY,F,"Men's Fashion",3
2020-10,South,KY,F,"Mobiles & Tablets",3
2020-10,South,KY,F,"Women's Fashion",2
2020-10,South,KY,M,Appliances,3
2020-10,South,KY,M,"Beauty & Grooming",2
2020-10,South,KY,M,Computing,8
2020-10,South,KY,M,Entertainment,4
2020-10,South,KY,M,"Health & Sports",1
2020-10,South,KY,M,"Home & Living",3
2020-10,South,KY,M,"Men's Fashion",11
2020-10,South,KY,M,"Mobiles & Tablets",46
2020-10,South,KY,M,Soghaat,1
2020-10,South,KY,M,Superstore,3
2020-10,South,KY,M,"Women's Fashion",88
2020-10,South,LA,F,"Beauty & Grooming",1
2020-10,South,LA,F,Computing,1
2020-10,South,LA,F,"Home & Living",1
2020-10,South,LA,F,"Mobiles & Tablets",8
2020-10,South,LA,M,"Beauty & Grooming",1
2020-10,South,LA,M,Entertainment,2
2020-10,South,LA,M,"Health & Sports",2
2020-10,South,LA,M,"Mobiles & Tablets",11
2020-10,South,LA,M,Soghaat,1
2020-10,South,LA,M,"Women's Fashion",1
2020-10,South,MD,F,Appliances,2
2020-10,South,MD,F,Computing,1
2020-10,South,MD,F,"Home & Living",1
2020-10,South,MD,F,"Mobiles & Tablets",1
2020-10,South,MD,F,Superstore,1
2020-10,South,MD,M,Appliances,1
2020-10,South,MD,M,Entertainment,1
2020-10,South,MD,M,"Kids & Baby",1
2020-10,South,MD,M,"Men's Fashion",2
2020-10,South,MD,M,"Mobiles & Tablets",2
2020-10,South,MS,F,"Health & Sports",2
2020-10,South,MS,F,"Mobiles & Tablets",1
2020-10,South,MS,M,Computing,1
2020-10,South,MS,M,Entertainment,1
2020-10,South,MS,M,"Home & Living",1
2020-10,South,MS,M,"Mobiles & Tablets",3
2020-10,South,MS,M,"Women's Fashion",2
2020-10,South,NC,F,Computing,4
2020-10,South,NC,F,Entertainment,9
2020-10,South,NC,F,"Men's Fashion",3
2020-10,South,NC,F,"Mobiles & Tablets",43
2020-10,South,NC,F,Soghaat,2
2020-10,South,NC,F,"Women's Fashion",2
2020-10,South,NC,M,Appliances,2
2020-10,South,NC,M,"Beauty & Grooming",2
2020-10,South,NC,M,Entertainment,2
2020-10,South,NC,M,"Kids & Baby",2
2020-10,South,NC,M,"Men's Fashion",1
2020-10,South,NC,M,"Mobiles & Tablets",6
2020-10,South,OK,F,Appliances,1
2020-10,South,OK,F,Entertainment,3
2020-10,South,OK,F,"Home & Living",30
2020-10,South,OK,F,"Men's Fashion",4
2020-10,South,OK,F,"Mobiles & Tablets",27
2020-10,South,OK,F,"Women's Fashion",1
2020-10,South,OK,M,Appliances,1
2020-10,South,OK,M,"Mobiles & Tablets",5
2020-10,South,OK,M,"Women's Fashion",1
2020-10,South,SC,F,Appliances,1
2020-10,South,SC,F,"Men's Fashion",2
2020-10,South,SC,F,"Mobiles & Tablets",3
2020-10,South,SC,F,"Women's Fashion",1
2020-10,South,SC,M,"Beauty & Grooming",1
2020-10,South,SC,M,Entertainment,1
2020-10,South,SC,M,"Health & Sports",1
2020-10,South,SC,M,"Men's Fashion",1
2020-10,South,SC,M,"Mobiles & Tablets",4
2020-10,South,SC,M,"Women's Fashion",1
2020-10,South,TN,F,Computing,12
2020-10,South,TN,F,Entertainment,2
2020-10,South,TN,F,"Home & Living",1
2020-10,South,TN,F,"Men's Fashion",3
2020-10,South,TN,F,"Mobiles & Tablets",4
2020-10,South,TN,F,Superstore,1
2020-10,South,TN,F,"Women's Fashion",12
2020-10,South,TN,M,Appliances,2
2020-10,South,TN,M,"Men's Fashion",2
2020-10,South,TN,M,"Mobiles & Tablets",5
2020-10,South,TN,M,Others,1
2020-10,South,TX,F,Appliances,2
2020-10,South,TX,F,"Beauty & Grooming",1
2020-10,South,TX,F,Computing,5
2020-10,South,TX,F,Entertainment,8
2020-10,South,TX,F,"Health & Sports",4
2020-10,South,TX,F,"Home & Living",1
2020-10,South,TX,F,"Kids & Baby",6
2020-10,South,TX,F,"Men's Fashion",9
2020-10,South,TX,F,"Mobiles & Tablets",10
2020-10,South,TX,F,Soghaat,1
2020-10,South,TX,F,"Women's Fashion",6
2020-10,South,TX,M,Appliances,2
2020-10,South,TX,M,"Beauty & Grooming",2
2020-10,South,TX,M,Computing,2
2020-10,South,TX,M,Entertainment,13
2020-10,South,TX,M,"Health & Sports",2
2020-10,South,TX,M,"Home & Living",2
2020-10,South,TX,M,"Kids & Baby",1
2020-10,South,TX,M,"Men's Fashion",8
2020-10,South,TX,M,"Mobiles & Tablets",6
2020-10,South,TX,M,"School & Education",1
2020-10,South,TX,M,Soghaat,3
2020-10,South,TX,M,Superstore,1
2020-10,South,TX,M,"Women's Fashion",6
2020-10,South,VA,F,Appliances,1
2020-10,South,VA,F,"Beauty & Grooming",3
2020-10,South,VA,F,Entertainment,1
2020-10,South,VA,F,"Home & Living",1
2020-10,South,VA,F,"Men's Fashion",1
2020-10,South,VA,F,"Mobiles & Tablets",6
2020-10,South,VA,F,"Women's Fashion",1
2020-10,South,VA,M,Appliances,3
2020-10,South,VA,M,"Beauty & Grooming",1
2020-10,South,VA,M,Entertainment,2
2020-10,South,VA,M,"Health & Sports",2
2020-10,South,VA,M,"Men's Fashion",4
2020-10,South,VA,M,"Mobiles & Tablets",9
2020-10,South,VA,M,Soghaat,1
2020-10,South,VA,M,"Women's Fashion",11
2020-10,South,WV,F,Appliances,3
2020-10,South,WV,F,Books,1
2020-10,South,WV,F,Entertainment,5
2020-10,South,WV,F,"Health & Sports",1
2020-10,South,WV,F,"Home & Living",1
2020-10,South,WV,F,"Kids & Baby",1
2020-10,South,WV,F,"Men's Fashion",1
2020-10,South,WV,F,"Mobiles & Tablets",6
2020-10,South,WV,F,"Women's Fashion",5
2020-10,South,WV,M,Appliances,4
2020-10,South,WV,M,"Beauty & Grooming",1
2020-10,South,WV,M,Computing,1
2020-10,South,WV,M,Entertainment,12
2020-10,South,WV,M,"Health & Sports",2
2020-10,South,WV,M,"Mobiles & Tablets",3
2020-10,South,WV,M,"Women's Fashion",1
2020-10,West,AK,F,Entertainment,10
2020-10,West,AK,F,"Mobiles & Tablets",1
2020-10,West,AK,M,Appliances,1
2020-10,West,AK,M,"Men's Fashion",1
2020-10,West,AK,M,"Mobiles & Tablets",1
2020-10,West,AZ,F,"Beauty & Grooming",2
2020-10,West,AZ,F,"Health & Sports",2
2020-10,West,AZ,F,"Men's Fashion",3
2020-10,West,AZ,F,"Mobiles & Tablets",12
2020-10,West,AZ,F,Soghaat,1
2020-10,West,AZ,F,"Women's Fashion",3
2020-10,West,AZ,M,Appliances,2
2020-10,West,AZ,M,"Home & Living",1
2020-10,West,AZ,M,"Mobiles & Tablets",4
2020-10,West,CA,F,Appliances,12
2020-10,West,CA,F,"Beauty & Grooming",2
2020-10,West,CA,F,Computing,3
2020-10,West,CA,F,Entertainment,3
2020-10,West,CA,F,"Home & Living",2
2020-10,West,CA,F,"Kids & Baby",3
2020-10,West,CA,F,"Men's Fashion",17
2020-10,West,CA,F,"Mobiles & Tablets",24
2020-10,West,CA,F,Soghaat,1
2020-10,West,CA,F,Superstore,4
2020-10,West,CA,F,"Women's Fashion",9
2020-10,West,CA,M,Appliances,16
2020-10,West,CA,M,"Beauty & Grooming",14
2020-10,West,CA,M,Entertainment,4
2020-10,West,CA,M,"Health & Sports",1
2020-10,West,CA,M,"Men's Fashion",3
2020-10,West,CA,M,"Mobiles & Tablets",33
2020-10,West,CA,M,"School & Education",1
2020-10,West,CA,M,Superstore,1
2020-10,West,CA,M,"Women's Fashion",17
2020-10,West,CO,F,Appliances,2
2020-10,West,CO,F,"Beauty & Grooming",1
2020-10,West,CO,F,Entertainment,2
2020-10,West,CO,F,"Men's Fashion",1
2020-10,West,CO,F,"Mobiles & Tablets",1
2020-10,West,CO,M,"Beauty & Grooming",2
2020-10,West,CO,M,"Health & Sports",1
2020-10,West,CO,M,"Home & Living",1
2020-10,West,CO,M,"Kids & Baby",1
2020-10,West,CO,M,"Men's Fashion",1
2020-10,West,CO,M,"Mobiles & Tablets",14
2020-10,West,CO,M,"Women's Fashion",1
2020-10,West,HI,M,Appliances,11
2020-10,West,ID,F,Entertainment,1
2020-10,West,ID,F,"Kids & Baby",1
2020-10,West,ID,F,"Mobiles & Tablets",2
2020-10,West,ID,F,"Women's Fashion",1
2020-10,West,ID,M,"Mobiles & Tablets",4
2020-10,West,MT,F,"Mobiles & Tablets",4
2020-10,West,MT,F,Soghaat,1
2020-10,West,MT,F,Superstore,1
2020-10,West,MT,M,Entertainment,1
2020-10,West,MT,M,"Men's Fashion",1
2020-10,West,MT,M,"Mobiles & Tablets",1
2020-10,West,NM,F,Appliances,2
2020-10,West,NM,F,"Beauty & Grooming",2
2020-10,West,NM,F,Entertainment,1
2020-10,West,NM,F,"Mobiles & Tablets",1
2020-10,West,NM,F,"Women's Fashion",1
2020-10,West,NM,M,"Men's Fashion",1
2020-10,West,NM,M,"Mobiles & Tablets",2
2020-10,West,NM,M,Superstore,2
2020-10,West,NM,M,"Women's Fashion",1
2020-10,West,NV,F,Appliances,1
2020-10,West,NV,F,"Men's Fashion",2
2020-10,West,NV,F,Soghaat,1
2020-10,West,NV,M,"Mobiles & Tablets",2
2020-10,West,OR,F,Computing,1
2020-10,West,OR,F,"Home & Living",1
2020-10,West,OR,F,"Mobiles & Tablets",2
2020-10,West,OR,F,"Women's Fashion",1
2020-10,West,OR,M,Appliances,2
2020-10,West,OR,M,Entertainment,3
2020-10,West,OR,M,"Kids & Baby",1
2020-10,West,OR,M,"Men's Fashion",1
2020-10,West,OR,M,"Mobiles & Tablets",3
2020-10,West,OR,M,Superstore,1
2020-10,West,UT,F,"Mobiles & Tablets",6
2020-10,West,UT,M,Appliances,3
2020-10,West,UT,M,"Beauty & Grooming",1
2020-10,West,UT,M,Entertainment,3
2020-10,West,UT,M,"Mobiles & Tablets",3
2020-10,West,UT,M,Soghaat,1
2020-10,West,WA,F,Appliances,5
2020-10,West,WA,F,Entertainment,10
2020-10,West,WA,F,"Health & Sports",4
2020-10,West,WA,F,"Mobiles & Tablets",7
2020-10,West,WA,F,"School & Education",1
2020-10,West,WA,F,Superstore,1
2020-10,West,WA,M,Appliances,5
2020-10,West,WA,M,"Beauty & Grooming",1
2020-10,West,WA,M,Computing,5
2020-10,West,WA,M,Entertainment,1
2020-10,West,WA,M,"Men's Fashion",1
2020-10,West,WA,M,"Mobiles & Tablets",4
2020-10,West,WA,M,"Women's Fashion",2
2020-10,West,WY,F,"Men's Fashion",1
2020-10,West,WY,M,Superstore,1
2020-11,Midwest,IA,F,Appliances,2
2020-11,Midwest,IA,F,"Beauty & Grooming",17
2020-11,Midwest,IA,F,Books,1
2020-11,Midwest,IA,F,Computing,2
2020-11,Midwest,IA,F,Entertainment,10
2020-11,Midwest,IA,F,"Home & Living",2
2020-11,Midwest,IA,F,"Men's Fashion",5
2020-11,Midwest,IA,F,"Mobiles & Tablets",34
2020-11,Midwest,IA,F,Others,16
2020-11,Midwest,IA,F,Soghaat,6
2020-11,Midwest,IA,F,Superstore,5
2020-11,Midwest,IA,F,"Women's Fashion",5
2020-11,Midwest,IA,M,"Beauty & Grooming",1
2020-11,Midwest,IA,M,Books,1
2020-11,Midwest,IA,M,Computing,2
2020-11,Midwest,IA,M,Entertainment,11
2020-11,Midwest,IA,M,"Home & Living",1
2020-11,Midwest,IA,M,"Men's Fashion",3
2020-11,Midwest,IA,M,"Mobiles & Tablets",26
2020-11,Midwest,IA,M,Others,12
2020-11,Midwest,IA,M,"Women's Fashion",6
2020-11,Midwest,IL,F,Appliances,7
2020-11,Midwest,IL,F,"Beauty & Grooming",3
2020-11,Midwest,IL,F,Computing,10
2020-11,Midwest,IL,F,Entertainment,15
2020-11,Midwest,IL,F,"Home & Living",22
2020-11,Midwest,IL,F,"Kids & Baby",1
2020-11,Midwest,IL,F,"Men's Fashion",13
2020-11,Midwest,IL,F,"Mobiles & Tablets",47
2020-11,Midwest,IL,F,Others,25
2020-11,Midwest,IL,F,Soghaat,7
2020-11,Midwest,IL,F,Superstore,28
2020-11,Midwest,IL,F,"Women's Fashion",11
2020-11,Midwest,IL,M,"Beauty & Grooming",4
2020-11,Midwest,IL,M,Books,3
2020-11,Midwest,IL,M,Computing,3
2020-11,Midwest,IL,M,Entertainment,22
2020-11,Midwest,IL,M,"Men's Fashion",4
2020-11,Midwest,IL,M,"Mobiles & Tablets",38
2020-11,Midwest,IL,M,Others,5
2020-11,Midwest,IL,M,Superstore,3
2020-11,Midwest,IL,M,"Women's Fashion",6
2020-11,Midwest,IN,F,Appliances,3
2020-11,Midwest,IN,F,"Beauty & Grooming",2
2020-11,Midwest,IN,F,Computing,4
2020-11,Midwest,IN,F,Entertainment,10
2020-11,Midwest,IN,F,"Health & Sports",6
2020-11,Midwest,IN,F,"Home & Living",1
2020-11,Midwest,IN,F,"Kids & Baby",11
2020-11,Midwest,IN,F,"Men's Fashion",6
