ym,region,state,category,gender,age_bin,order_cnt
2020-10,Midwest,IL,Soghaat,M,50s,1
2020-10,Midwest,IL,Superstore,F,60s,4
2020-10,Midwest,IL,"Women's Fashion",F,20s,1
2020-10,Midwest,IL,"Women's Fashion",F,50s,1
2020-10,Midwest,IL,"Women's Fashion",F,60s,1
2020-10,Midwest,IN,"Beauty & Grooming",M,20s,1
2020-10,Midwest,IN,Computing,F,60s,1
2020-10,Midwest,IN,Entertainment,F,40s,1
2020-10,Midwest,IN,Entertainment,M,20s,1
2020-10,Midwest,IN,Entertainment,M,40s,1
2020-10,Midwest,IN,"Health & Sports",F,20s,1
2020-10,Midwest,IN,"Health & Sports",M,20s,1
2020-10,Midwest,IN,"Home & Living",F,40s,1
2020-10,Midwest,IN,"Home & Living",M,40s,1
2020-10,Midwest,IN,"Kids & Baby",F,50s,1
2020-10,Midwest,IN,"Men's Fashion",F,20s,2
2020-10,Midwest,IN,"Men's Fashion",M,60s,2
2020-10,Midwest,IN,"Mobiles & Tablets",F,20s,2
2020-10,Midwest,IN,"Mobiles & Tablets",F,30s,2
2020-10,Midwest,IN,"Mobiles & Tablets",F,50s,1
2020-10,Midwest,IN,"Mobiles & Tablets",F,60s,1
2020-10,Midwest,IN,"Mobiles & Tablets",M,20s,1
2020-10,Midwest,IN,"Mobiles & Tablets",M,40s,1
2020-10,Midwest,IN,"Mobiles & Tablets",M,50s,3
2020-10,Midwest,IN,"Mobiles & Tablets",M,60s,5
2020-10,Midwest,IN,Soghaat,F,20s,1
2020-10,Midwest,IN,Soghaat,F,60s,4
2020-10,Midwest,IN,Superstore,M,40s,2
2020-10,Midwest,IN,"Women's Fashion",F,60s,1
2020-10,Midwest,KS,Appliances,M,30s,1
2020-10,Midwest,KS,"Beauty & Grooming",F,60s,1
2020-10,Midwest,KS,"Beauty & Grooming",F,70+,20
2020-10,Midwest,KS,"Beauty & Grooming",M,60s,2
2020-10,Midwest,KS,Entertainment,F,40s,2
2020-10,Midwest,KS,Entertainment,F,60s,3
2020-10,Midwest,KS,"Men's Fashion",F,40s,4
2020-10,Midwest,KS,"Men's Fashion",F,70+,1
2020-10,Midwest,KS,"Men's Fashion",M,30s,1
2020-10,Midwest,KS,"Men's Fashion",M,50s,1
2020-10,Midwest,KS,"Mobiles & Tablets",F,50s,3
2020-10,Midwest,KS,"Mobiles & Tablets",F,70+,6
2020-10,Midwest,KS,"Mobiles & Tablets",M,30s,1
2020-10,Midwest,KS,"School & Education",F,40s,2
2020-10,Midwest,KS,Soghaat,F,70+,1
2020-10,Midwest,KS,"Women's Fashion",F,40s,1
2020-10,Midwest,KS,"Women's Fashion",F,70+,11
2020-10,Midwest,MI,Appliances,F,50s,1
2020-10,Midwest,MI,Appliances,M,10s,1
2020-10,Midwest,MI,Appliances,M,50s,1
2020-10,Midwest,MI,Entertainment,F,30s,1
2020-10,Midwest,MI,Entertainment,F,60s,1
2020-10,Midwest,MI,Entertainment,M,20s,1
2020-10,Midwest,MI,Entertainment,M,50s,1
2020-10,Midwest,MI,"Men's Fashion",F,50s,1
2020-10,Midwest,MI,"Men's Fashion",F,70+,1
2020-10,Midwest,MI,"Men's Fashion",M,30s,1
2020-10,Midwest,MI,"Men's Fashion",M,60s,5
2020-10,Midwest,MI,"Mobiles & Tablets",F,20s,2
2020-10,Midwest,MI,"Mobiles & Tablets",F,30s,1
2020-10,Midwest,MI,"Mobiles & Tablets",F,40s,1
2020-10,Midwest,MI,"Mobiles & Tablets",M,20s,5
2020-10,Midwest,MI,"Mobiles & Tablets",M,30s,2
2020-10,Midwest,MI,"Mobiles & Tablets",M,40s,1
2020-10,Midwest,MI,Superstore,F,30s,1
2020-10,Midwest,MI,"Women's Fashion",F,50s,1
2020-10,Midwest,MI,"Women's Fashion",M,40s,1
2020-10,Midwest,MI,"Women's Fashion",M,50s,2
2020-10,Midwest,MN,Appliances,F,50s,1
2020-10,Midwest,MN,Appliances,M,70+,1
2020-10,Midwest,MN,"Beauty & Grooming",F,30s,1
2020-10,Midwest,MN,"Beauty & Grooming",M,40s,2
2020-10,Midwest,MN,Entertainment,F,30s,1
2020-10,Midwest,MN,Entertainment,F,50s,2
2020-10,Midwest,MN,Entertainment,M,50s,2
2020-10,Midwest,MN,"Health & Sports",F,20s,1
2020-10,Midwest,MN,"Home & Living",F,20s,1
2020-10,Midwest,MN,"Men's Fashion",M,40s,2
2020-10,Midwest,MN,"Men's Fashion",M,60s,2
2020-10,Midwest,MN,"Mobiles & Tablets",F,60s,5
2020-10,Midwest,MN,"Mobiles & Tablets",F,70+,11
2020-10,Midwest,MN,"Mobiles & Tablets",M,30s,1
2020-10,Midwest,MN,"Mobiles & Tablets",M,40s,1
2020-10,Midwest,MN,Superstore,F,20s,1
2020-10,Midwest,MN,"Women's Fashion",F,20s,1
2020-10,Midwest,MN,"Women's Fashion",M,30s,1
2020-10,Midwest,MN,"Women's Fashion",M,40s,4
2020-10,Midwest,MO,Appliances,F,20s,2
2020-10,Midwest,MO,Appliances,F,40s,1
2020-10,Midwest,MO,Appliances,M,10s,8
2020-10,Midwest,MO,Appliances,M,20s,1
2020-10,Midwest,MO,Appliances,M,40s,4
2020-10,Midwest,MO,"Beauty & Grooming",M,20s,2
2020-10,Midwest,MO,"Beauty & Grooming",M,50s,1
2020-10,Midwest,MO,Entertainment,F,20s,1
2020-10,Midwest,MO,Entertainment,F,60s,1
2020-10,Midwest,MO,Entertainment,M,40s,2
2020-10,Midwest,MO,"Home & Living",M,50s,1
2020-10,Midwest,MO,"Kids & Baby",M,50s,1
2020-10,Midwest,MO,"Men's Fashion",M,10s,2
2020-10,Midwest,MO,"Mobiles & Tablets",F,20s,9
2020-10,Midwest,MO,"Mobiles & Tablets",F,30s,3
2020-10,Midwest,MO,"Mobiles & Tablets",F,50s,1
2020-10,Midwest,MO,"Mobiles & Tablets",M,20s,1
2020-10,Midwest,MO,"Mobiles & Tablets",M,40s,2
2020-10,Midwest,MO,"Mobiles & Tablets",M,50s,3
2020-10,Midwest,MO,"School & Education",M,50s,1
2020-10,Midwest,MO,Soghaat,F,30s,1
2020-10,Midwest,MO,Superstore,M,10s,1
2020-10,Midwest,MO,"Women's Fashion",M,50s,1
2020-10,Midwest,ND,Appliances,F,20s,3
2020-10,Midwest,ND,Appliances,M,60s,2
2020-10,Midwest,ND,Entertainment,F,10s,1
2020-10,Midwest,ND,Entertainment,F,20s,3
2020-10,Midwest,ND,Entertainment,F,70+,1
2020-10,Midwest,ND,"Kids & Baby",M,60s,1
2020-10,Midwest,ND,"Mobiles & Tablets",F,10s,1
2020-10,Midwest,ND,"Mobiles & Tablets",M,30s,2
2020-10,Midwest,ND,"Women's Fashion",M,20s,1
2020-10,Midwest,ND,"Women's Fashion",M,30s,1
2020-10,Midwest,ND,"Women's Fashion",M,60s,1
2020-10,Midwest,NE,"Beauty & Grooming",M,30s,7
2020-10,Midwest,NE,Computing,F,30s,2
2020-10,Midwest,NE,"Kids & Baby",M,30s,4
2020-10,Midwest,NE,"Men's Fashion",M,30s,9
2020-10,Midwest,NE,"Men's Fashion",M,50s,1
2020-10,Midwest,NE,"Mobiles & Tablets",M,30s,5
2020-10,Midwest,NE,"Mobiles & Tablets",M,40s,1
2020-10,Midwest,NE,"Mobiles & Tablets",M,60s,1
2020-10,Midwest,NE,"School & Education",M,30s,1
2020-10,Midwest,NE,Superstore,M,50s,1
2020-10,Midwest,NE,"Women's Fashion",F,60s,1
2020-10,Midwest,NE,"Women's Fashion",M,30s,17
2020-10,Midwest,OH,Appliances,F,20s,2
2020-10,Midwest,OH,Appliances,F,50s,1
2020-10,Midwest,OH,Appliances,M,30s,1
2020-10,Midwest,OH,"Beauty & Grooming",F,20s,4
2020-10,Midwest,OH,"Beauty & Grooming",F,40s,1
2020-10,Midwest,OH,"Beauty & Grooming",M,50s,2
2020-10,Midwest,OH,"Beauty & Grooming",M,60s,1
2020-10,Midwest,OH,Entertainment,F,60s,1
2020-10,Midwest,OH,Entertainment,M,30s,1
2020-10,Midwest,OH,Entertainment,M,40s,1
2020-10,Midwest,OH,Entertainment,M,70+,1
2020-10,Midwest,OH,"Home & Living",F,20s,1
2020-10,Midwest,OH,"Home & Living",F,50s,1
2020-10,Midwest,OH,"Kids & Baby",F,30s,2
2020-10,Midwest,OH,"Kids & Baby",M,40s,1
2020-10,Midwest,OH,"Men's Fashion",F,60s,1
2020-10,Midwest,OH,"Men's Fashion",F,70+,1
2020-10,Midwest,OH,"Mobiles & Tablets",F,20s,1
2020-10,Midwest,OH,"Mobiles & Tablets",F,40s,5
2020-10,Midwest,OH,"Mobiles & Tablets",F,50s,1
2020-10,Midwest,OH,"Mobiles & Tablets",F,60s,3
2020-10,Midwest,OH,"Mobiles & Tablets",F,70+,2
2020-10,Midwest,OH,"Mobiles & Tablets",M,20s,4
2020-10,Midwest,OH,"Mobiles & Tablets",M,30s,2
2020-10,Midwest,OH,"Mobiles & Tablets",M,60s,7
2020-10,Midwest,OH,"School & Education",F,20s,2
2020-10,Midwest,OH,"Women's Fashion",F,10s,1
2020-10,Midwest,OH,"Women's Fashion",F,20s,5
2020-10,Midwest,OH,"Women's Fashion",F,30s,1
2020-10,Midwest,OH,"Women's Fashion",F,60s,2
2020-10,Midwest,OH,"Women's Fashion",M,60s,1
2020-10,Midwest,OH,"Women's Fashion",M,70+,2
2020-10,Midwest,SD,Appliances,M,70+,2
2020-10,Midwest,SD,Computing,M,40s,1
2020-10,Midwest,SD,Entertainment,F,20s,1
2020-10,Midwest,SD,Entertainment,F,60s,3
2020-10,Midwest,SD,Entertainment,M,30s,1
2020-10,Midwest,SD,"Health & Sports",F,50s,1
2020-10,Midwest,SD,"Health & Sports",M,70+,2
2020-10,Midwest,SD,"Home & Living",M,30s,2
2020-10,Midwest,SD,"Home & Living",M,70+,6
2020-10,Midwest,SD,"Kids & Baby",M,50s,1
2020-10,Midwest,SD,"Men's Fashion",M,20s,1
2020-10,Midwest,SD,"Mobiles & Tablets",F,50s,1
2020-10,Midwest,SD,"Mobiles & Tablets",F,60s,2
2020-10,Midwest,SD,"Mobiles & Tablets",M,50s,2
2020-10,Midwest,SD,Superstore,F,10s,1
2020-10,Midwest,SD,Superstore,M,30s,2
2020-10,Midwest,SD,"Women's Fashion",F,10s,2
2020-10,Midwest,SD,"Women's Fashion",F,20s,1
2020-10,Midwest,SD,"Women's Fashion",F,50s,1
2020-10,Midwest,WI,Appliances,F,40s,1
2020-10,Midwest,WI,Appliances,M,50s,1
2020-10,Midwest,WI,"Beauty & Grooming",F,10s,2
2020-10,Midwest,WI,Entertainment,F,60s,1
2020-10,Midwest,WI,Entertainment,M,20s,1
2020-10,Midwest,WI,"Health & Sports",F,10s,1
2020-10,Midwest,WI,"Health & Sports",F,60s,1
2020-10,Midwest,WI,"Home & Living",F,40s,1
2020-10,Midwest,WI,"Home & Living",F,60s,1
2020-10,Midwest,WI,"Men's Fashion",F,30s,2
2020-10,Midwest,WI,"Men's Fashion",M,30s,1
2020-10,Midwest,WI,"Mobiles & Tablets",F,10s,1
2020-10,Midwest,WI,"Mobiles & Tablets",F,50s,1
2020-10,Midwest,WI,"Mobiles & Tablets",M,30s,3
2020-10,Midwest,WI,"Mobiles & Tablets",M,50s,6
2020-10,Midwest,WI,"Mobiles & Tablets",M,60s,1
2020-10,Midwest,WI,Soghaat,M,50s,2
2020-10,Midwest,WI,"Women's Fashion",M,30s,2
2020-10,Northeast,CT,Appliances,F,10s,1
2020-10,Northeast,CT,Appliances,F,40s,2
2020-10,Northeast,CT,Appliances,F,60s,3
2020-10,Northeast,CT,Appliances,M,50s,3
2020-10,Northeast,CT,Entertainment,M,20s,1
2020-10,Northeast,CT,Entertainment,M,40s,1
2020-10,Northeast,CT,"Kids & Baby",F,30s,1
2020-10,Northeast,CT,"Men's Fashion",M,40s,1
2020-10,Northeast,CT,"Mobiles & Tablets",M,50s,1
2020-10,Northeast,CT,"Women's Fashion",F,30s,2
2020-10,Northeast,CT,"Women's Fashion",M,40s,1
2020-10,Northeast,CT,"Women's Fashion",M,60s,1
2020-10,Northeast,MA,Appliances,F,50s,1
2020-10,Northeast,MA,Appliances,M,30s,3
2020-10,Northeast,MA,"Beauty & Grooming",F,50s,1
2020-10,Northeast,MA,"Beauty & Grooming",M,60s,1
2020-10,Northeast,MA,Computing,F,20s,1
2020-10,Northeast,MA,Entertainment,M,30s,1
2020-10,Northeast,MA,Entertainment,M,60s,1
2020-10,Northeast,MA,"Home & Living",F,40s,2
2020-10,Northeast,MA,"Home & Living",F,50s,1
2020-10,Northeast,MA,"Home & Living",F,60s,1
2020-10,Northeast,MA,"Home & Living",M,30s,2
2020-10,Northeast,MA,"Men's Fashion",F,20s,1
2020-10,Northeast,MA,"Men's Fashion",F,40s,1
2020-10,Northeast,MA,"Men's Fashion",F,60s,1
2020-10,Northeast,MA,"Men's Fashion",M,20s,2
2020-10,Northeast,MA,"Men's Fashion",M,40s,1
2020-10,Northeast,MA,"Mobiles & Tablets",F,10s,2
2020-10,Northeast,MA,"Mobiles & Tablets",F,20s,1
2020-10,Northeast,MA,"Mobiles & Tablets",F,30s,4
2020-10,Northeast,MA,"Mobiles & Tablets",F,50s,10
2020-10,Northeast,MA,"Mobiles & Tablets",M,20s,7
2020-10,Northeast,MA,"Mobiles & Tablets",M,40s,2
2020-10,Northeast,MA,"Mobiles & Tablets",M,50s,1
2020-10,Northeast,MA,"Women's Fashion",F,60s,1
2020-10,Northeast,MA,"Women's Fashion",M,50s,2
2020-10,Northeast,ME,Appliances,M,30s,3
2020-10,Northeast,ME,"Men's Fashion",F,40s,1
2020-10,Northeast,ME,"Men's Fashion",M,40s,11
2020-10,Northeast,ME,"Mobiles & Tablets",F,20s,2
2020-10,Northeast,ME,"Mobiles & Tablets",F,30s,1
2020-10,Northeast,ME,"Mobiles & Tablets",M,40s,1
2020-10,Northeast,NH,Appliances,M,60s,4
2020-10,Northeast,NH,"Beauty & Grooming",M,60s,3
2020-10,Northeast,NH,Computing,M,60s,1
2020-10,Northeast,NH,"Health & Sports",M,60s,1
2020-10,Northeast,NH,"Home & Living",M,60s,5
2020-10,Northeast,NH,"Kids & Baby",M,60s,2
2020-10,Northeast,NH,"Men's Fashion",M,30s,1
2020-10,Northeast,NH,"Men's Fashion",M,60s,1
2020-10,Northeast,NH,"Mobiles & Tablets",M,20s,1
2020-10,Northeast,NH,"Mobiles & Tablets",M,30s,3
2020-10,Northeast,NH,"Mobiles & Tablets",M,40s,1
2020-10,Northeast,NH,Soghaat,M,30s,1
2020-10,Northeast,NH,Superstore,M,60s,1
2020-10,Northeast,NH,"Women's Fashion",M,60s,4
2020-10,Northeast,NJ,Appliances,F,50s,1
2020-10,Northeast,NJ,Appliances,M,20s,1
2020-10,Northeast,NJ,Appliances,M,30s,3
2020-10,Northeast,NJ,Appliances,M,60s,1
2020-10,Northeast,NJ,"Beauty & Grooming",F,40s,1
2020-10,Northeast,NJ,"Beauty & Grooming",M,70+,1
2020-10,Northeast,NJ,"Men's Fashion",F,30s,1
2020-10,Northeast,NJ,"Mobiles & Tablets",F,50s,1
2020-10,Northeast,NJ,"Mobiles & Tablets",M,30s,2
2020-10,Northeast,NJ,"Mobiles & Tablets",M,60s,1
2020-10,Northeast,NJ,"Mobiles & Tablets",M,70+,2
2020-10,Northeast,NJ,Superstore,M,20s,1
2020-10,Northeast,NJ,"Women's Fashion",M,40s,1
2020-10,Northeast,NY,Appliances,F,20s,2
2020-10,Northeast,NY,Appliances,F,30s,1
2020-10,Northeast,NY,Appliances,M,20s,1
2020-10,Northeast,NY,Appliances,M,50s,3
2020-10,Northeast,NY,Appliances,M,70+,3
2020-10,Northeast,NY,"Beauty & Grooming",F,40s,1
2020-10,Northeast,NY,"Beauty & Grooming",M,20s,1
2020-10,Northeast,NY,"Beauty & Grooming",M,30s,1
2020-10,Northeast,NY,"Beauty & Grooming",M,60s,1
2020-10,Northeast,NY,"Beauty & Grooming",M,70+,1
2020-10,Northeast,NY,Entertainment,F,20s,5
2020-10,Northeast,NY,Entertainment,F,30s,1
2020-10,Northeast,NY,Entertainment,F,40s,1
2020-10,Northeast,NY,Entertainment,F,50s,1
2020-10,Northeast,NY,Entertainment,M,30s,1
2020-10,Northeast,NY,Entertainment,M,40s,1
2020-10,Northeast,NY,Entertainment,M,60s,1
2020-10,Northeast,NY,Entertainment,M,70+,1
2020-10,Northeast,NY,"Home & Living",M,20s,1
2020-10,Northeast,NY,"Kids & Baby",M,40s,2
2020-10,Northeast,NY,"Men's Fashion",F,40s,1
2020-10,Northeast,NY,"Men's Fashion",F,70+,1
2020-10,Northeast,NY,"Men's Fashion",M,20s,2
2020-10,Northeast,NY,"Men's Fashion",M,30s,1
2020-10,Northeast,NY,"Men's Fashion",M,40s,10
2020-10,Northeast,NY,"Men's Fashion",M,50s,2
2020-10,Northeast,NY,"Men's Fashion",M,60s,3
2020-10,Northeast,NY,"Mobiles & Tablets",F,20s,2
2020-10,Northeast,NY,"Mobiles & Tablets",F,30s,2
2020-10,Northeast,NY,"Mobiles & Tablets",F,40s,12
2020-10,Northeast,NY,"Mobiles & Tablets",F,50s,2
2020-10,Northeast,NY,"Mobiles & Tablets",F,60s,2
2020-10,Northeast,NY,"Mobiles & Tablets",F,70+,2
2020-10,Northeast,NY,"Mobiles & Tablets",M,20s,2
2020-10,Northeast,NY,"Mobiles & Tablets",M,30s,1
2020-10,Northeast,NY,"Mobiles & Tablets",M,40s,4
2020-10,Northeast,NY,"Mobiles & Tablets",M,50s,3
2020-10,Northeast,NY,"Mobiles & Tablets",M,60s,1
2020-10,Northeast,NY,"Mobiles & Tablets",M,70+,10
2020-10,Northeast,NY,"School & Education",M,50s,1
2020-10,Northeast,NY,Soghaat,M,10s,1
2020-10,Northeast,NY,Soghaat,M,20s,1
2020-10,Northeast,NY,Soghaat,M,30s,1
2020-10,Northeast,NY,Superstore,M,10s,1
2020-10,Northeast,NY,Superstore,M,20s,1
2020-10,Northeast,NY,Superstore,M,50s,1
2020-10,Northeast,NY,Superstore,M,60s,1
2020-10,Northeast,NY,"Women's Fashion",M,50s,1
2020-10,Northeast,PA,Appliances,F,30s,1
2020-10,Northeast,PA,Appliances,F,50s,1
2020-10,Northeast,PA,Appliances,F,60s,1
2020-10,Northeast,PA,Appliances,M,20s,2
2020-10,Northeast,PA,Appliances,M,30s,2
2020-10,Northeast,PA,Appliances,M,60s,1
2020-10,Northeast,PA,"Beauty & Grooming",M,50s,1
2020-10,Northeast,PA,"Beauty & Grooming",M,70+,1
2020-10,Northeast,PA,Entertainment,F,20s,1
2020-10,Northeast,PA,Entertainment,F,40s,1
2020-10,Northeast,PA,Entertainment,M,20s,1
2020-10,Northeast,PA,Entertainment,M,40s,4
2020-10,Northeast,PA,"Health & Sports",F,30s,1
2020-10,Northeast,PA,"Health & Sports",F,70+,1
2020-10,Northeast,PA,"Health & Sports",M,60s,1
2020-10,Northeast,PA,"Home & Living",F,50s,1
2020-10,Northeast,PA,"Kids & Baby",M,70+,1
2020-10,Northeast,PA,"Men's Fashion",F,40s,3
2020-10,Northeast,PA,"Men's Fashion",F,50s,1
2020-10,Northeast,PA,"Men's Fashion",M,50s,17
2020-10,Northeast,PA,"Men's Fashion",M,60s,2
2020-10,Northeast,PA,"Mobiles & Tablets",F,20s,10
2020-10,Northeast,PA,"Mobiles & Tablets",F,30s,2
2020-10,Northeast,PA,"Mobiles & Tablets",F,40s,15
2020-10,Northeast,PA,"Mobiles & Tablets",F,50s,3
2020-10,Northeast,PA,"Mobiles & Tablets",F,60s,1
2020-10,Northeast,PA,"Mobiles & Tablets",M,20s,4
2020-10,Northeast,PA,"Mobiles & Tablets",M,30s,1
2020-10,Northeast,PA,"Mobiles & Tablets",M,40s,1
2020-10,Northeast,PA,"Mobiles & Tablets",M,50s,44
2020-10,Northeast,PA,"Mobiles & Tablets",M,60s,1
2020-10,Northeast,PA,"Mobiles & Tablets",M,70+,3
2020-10,Northeast,PA,Soghaat,F,60s,1
2020-10,Northeast,PA,Soghaat,M,10s,2
2020-10,Northeast,PA,Soghaat,M,50s,1
2020-10,Northeast,PA,Superstore,F,40s,5
2020-10,Northeast,PA,Superstore,M,50s,1
2020-10,Northeast,PA,"Women's Fashion",F,30s,3
2020-10,Northeast,PA,"Women's Fashion",F,60s,2
2020-10,Northeast,RI,"Mobiles & Tablets",M,50s,1
2020-10,Northeast,VT,Computing,M,70+,10
2020-10,Northeast,VT,Entertainment,M,40s,1
2020-10,Northeast,VT,Entertainment,M,50s,1
2020-10,Northeast,VT,"Men's Fashion",F,70+,1
2020-10,Northeast,VT,"Mobiles & Tablets",F,20s,1
2020-10,Northeast,VT,"Mobiles & Tablets",F,30s,7
2020-10,Northeast,VT,"Mobiles & Tablets",M,20s,1
2020-10,South,AL,Appliances,F,40s,1
2020-10,South,AL,Appliances,M,30s,1
2020-10,South,AL,"Beauty & Grooming",M,20s,1
2020-10,South,AL,Computing,F,40s,1
2020-10,South,AL,Computing,M,60s,1
2020-10,South,AL,Entertainment,F,50s,1
2020-10,South,AL,"Home & Living",M,50s,1
2020-10,South,AL,"Men's Fashion",F,50s,1
2020-10,South,AL,"Men's Fashion",M,20s,1
2020-10,South,AL,"Men's Fashion",M,50s,1
2020-10,South,AL,"Men's Fashion",M,60s,1
2020-10,South,AL,"Mobiles & Tablets",F,30s,4
2020-10,South,AL,"Mobiles & Tablets",F,40s,2
2020-10,South,AL,"Mobiles & Tablets",F,50s,3
2020-10,South,AL,"Mobiles & Tablets",F,60s,2
2020-10,South,AL,"Mobiles & Tablets",F,70+,2
2020-10,South,AL,"Mobiles & Tablets",M,20s,1
2020-10,South,AL,"Mobiles & Tablets",M,30s,1
2020-10,South,AL,"Mobiles & Tablets",M,40s,1
2020-10,South,AL,"Mobiles & Tablets",M,50s,3
2020-10,South,AL,Soghaat,F,30s,1
2020-10,South,AL,"Women's Fashion",M,50s,1
2020-10,South,AR,Appliances,F,20s,2
2020-10,South,AR,Appliances,F,50s,3
2020-10,South,AR,Appliances,F,60s,6
2020-10,South,AR,Appliances,M,60s,1
2020-10,South,AR,"Beauty & Grooming",F,70+,4
2020-10,South,AR,Entertainment,F,60s,1
2020-10,South,AR,Entertainment,F,70+,1
2020-10,South,AR,Entertainment,M,30s,1
2020-10,South,AR,Entertainment,M,60s,1
2020-10,South,AR,"Home & Living",F,40s,1
2020-10,South,AR,"Men's Fashion",F,60s,1
2020-10,South,AR,"Men's Fashion",M,40s,1
2020-10,South,AR,"Mobiles & Tablets",F,20s,4
2020-10,South,AR,"Mobiles & Tablets",F,30s,1
2020-10,South,AR,"Mobiles & Tablets",F,50s,1
2020-10,South,AR,"Mobiles & Tablets",F,70+,1
2020-10,South,AR,"Mobiles & Tablets",M,30s,1
2020-10,South,AR,"Mobiles & Tablets",M,60s,7
2020-10,South,AR,"Mobiles & Tablets",M,70+,3
2020-10,South,AR,"School & Education",F,40s,1
2020-10,South,AR,"School & Education",M,40s,1
2020-10,South,AR,Soghaat,F,40s,1
2020-10,South,AR,"Women's Fashion",F,40s,1
2020-10,South,AR,"Women's Fashion",F,70+,1
2020-10,South,AR,"Women's Fashion",M,70+,1
2020-10,South,DC,"Beauty & Grooming",M,40s,2
2020-10,South,DC,"Men's Fashion",M,40s,1
2020-10,South,DC,"Mobiles & Tablets",F,50s,2
2020-10,South,DC,"Mobiles & Tablets",M,20s,12
2020-10,South,DC,"Mobiles & Tablets",M,50s,3
2020-10,South,DC,"Mobiles & Tablets",M,60s,1
2020-10,South,DC,"Mobiles & Tablets",M,70+,5
2020-10,South,DE,Computing,F,40s,1
2020-10,South,DE,"Mobiles & Tablets",F,40s,2
2020-10,South,DE,"Mobiles & Tablets",F,50s,1
2020-10,South,DE,"Mobiles & Tablets",F,60s,1
2020-10,South,FL,Appliances,F,20s,2
2020-10,South,FL,Appliances,F,70+,5
2020-10,South,FL,Appliances,M,20s,1
2020-10,South,FL,Appliances,M,60s,7
2020-10,South,FL,"Beauty & Grooming",F,30s,1
2020-10,South,FL,"Beauty & Grooming",M,40s,1
2020-10,South,FL,Computing,M,20s,1
2020-10,South,FL,Entertainment,F,30s,1
2020-10,South,FL,Entertainment,F,40s,2
2020-10,South,FL,Entertainment,F,50s,10
2020-10,South,FL,Entertainment,F,70+,2
2020-10,South,FL,Entertainment,M,20s,1
2020-10,South,FL,Entertainment,M,30s,1
2020-10,South,FL,"Health & Sports",F,20s,1
2020-10,South,FL,"Home & Living",F,30s,2
2020-10,South,FL,"Home & Living",M,60s,1
2020-10,South,FL,"Men's Fashion",F,20s,1
2020-10,South,FL,"Men's Fashion",F,50s,1
2020-10,South,FL,"Men's Fashion",F,60s,1
2020-10,South,FL,"Men's Fashion",F,70+,1
2020-10,South,FL,"Men's Fashion",M,50s,1
2020-10,South,FL,"Mobiles & Tablets",F,20s,4
2020-10,South,FL,"Mobiles & Tablets",F,30s,6
2020-10,South,FL,"Mobiles & Tablets",F,40s,2
2020-10,South,FL,"Mobiles & Tablets",F,50s,2
2020-10,South,FL,"Mobiles & Tablets",F,60s,2
2020-10,South,FL,"Mobiles & Tablets",F,70+,3
2020-10,South,FL,"Mobiles & Tablets",M,20s,1
2020-10,South,FL,"Mobiles & Tablets",M,50s,4
2020-10,South,FL,"Mobiles & Tablets",M,60s,5
2020-10,South,FL,"Mobiles & Tablets",M,70+,2
