stockCode,ym,avg_order_cnt,ATV
15044B,2011-05,1.0625,18.759999999999998
15044C,2010-12,1.3333,9.595
15044C,2011-01,2.0000,20.265
15044C,2011-02,1.0000,11.8
15044C,2011-03,1.4286,23.325999999999993
15044C,2011-04,1.8000,7.453333333333335
15044C,2011-05,1.3000,8.81615384615385
15044D,2010-12,1.0000,5.91
15044D,2011-01,1.0000,20.038000000000004
15044D,2011-02,1.0000,14.64
15044D,2011-03,1.0000,39.465555555555554
15044D,2011-04,1.0000,7.767272727272729
15044D,2011-05,1.0769,14.734285714285717
15056BL,2010-12,1.7826,32.301951219512205
15056BL,2011-01,1.4211,40.194814814814826
15056BL,2011-02,1.6000,32.66375000000001
15056BL,2011-03,1.2857,42.40444444444445
15056BL,2011-04,1.5385,30.512999999999998
15056BL,2011-05,1.6842,37.18031249999999
15056N,2010-12,1.5600,24.571538461538474
15056N,2011-01,1.4583,24.493142857142868
15056N,2011-02,1.5385,39.386500000000005
15056N,2011-03,1.5758,52.09
15056N,2011-04,1.2800,34.389375000000015
15056n,2011-05,1.6923,47.99386363636365
15056P,2010-12,1.4545,27.918125000000007
15056p,2011-01,1.2857,14.070000000000002
15056P,2011-02,1.0000,16.121000000000002
15056P,2011-03,1.0909,19.926666666666666
15056P,2011-04,1.2727,38.759285714285724
15056P,2011-05,1.5714,42.45090909090909
15058A,2010-12,1.0000,7.95
15058A,2011-03,2.0000,14.76
15058A,2011-04,1.5000,16.531111111111112
15058A,2011-05,1.8333,21.727272727272723
15058B,2010-12,1.0000,7.95
15058B,2011-01,1.0000,23.85
15058B,2011-02,1.0000,24.96
15058B,2011-03,1.6667,19.524
15058B,2011-04,1.4000,22.390000000000004
15058B,2011-05,2.0833,22.136799999999997
15058C,2011-02,1.0000,31.8
15058C,2011-03,1.0000,22.0775
15058C,2011-04,1.8000,15.834444444444443
15058C,2011-05,1.9091,23.24142857142857
15060B,2010-12,1.6923,11.69090909090909
15060B,2011-01,1.6667,12.752666666666666
15060B,2011-02,2.0000,9.835833333333332
15060B,2011-03,1.1667,12.124285714285714
15060B,2011-04,1.3333,6.9575
15060B,2011-05,1.1429,15.098749999999999
16008,2010-12,1.0000,1.75
16008,2011-02,1.0000,5
16008,2011-03,1.0000,18
16008,2011-04,1.0000,12.6
16010,2010-12,1.0000,1.44
16010,2011-02,1.0000,1.44
16010,2011-03,1.0000,0.72
16010,2011-04,1.0000,0
16011,2010-12,1.0000,4.935
16011,2011-01,1.0000,10.0275
16011,2011-02,1.0000,10.08
16011,2011-03,1.0000,10.29
16011,2011-04,1.0000,13.65
16011,2011-05,1.0000,6.720000000000001
16012,2010-12,1.0000,6.3
16012,2011-01,1.0000,6.72
16012,2011-02,1.0000,5.04
16012,2011-03,1.0000,16.128000000000004
16012,2011-04,1.0000,2.94
16012,2011-05,1.0000,9.31
16014,2010-12,1.0000,55.36333333333334
16014,2011-01,1.0000,4.2
16014,2011-02,1.0000,240.21
16014,2011-03,1.0000,172.6
16014,2011-04,1.0000,3.22
16014,2011-05,1.0000,112.97749999999999
16015,2010-12,1.0000,5.25
16015,2011-01,1.0000,10
16015,2011-02,1.0000,25.25
16015,2011-03,1.0000,17.5
16015,2011-04,1.2000,18.88
16015,2011-05,1.0000,7.166666666666667
16016,2010-12,1.0000,4.76
16016,2011-01,1.0000,11.333333333333334
16016,2011-02,1.0000,49.709999999999994
16016,2011-03,1.0000,29.75
16016,2011-04,1.0000,22.61
16016,2011-05,1.0000,17.283333333333335
16020C,2011-03,1.0000,1.7
16020C,2011-04,1.0000,1.7
16033,2010-12,1.0000,14.399999999999999
16033,2011-01,1.0000,14.399999999999999
16033,2011-02,1.0000,28.799999999999997
16045,2010-12,1.0000,12
16045,2011-03,1.0000,12
16046,2010-12,1.0000,4.25
16046,2011-02,1.0000,3.4
16046,2011-03,1.0000,3.825
16046,2011-04,1.0000,1.7
16046,2011-05,1.0000,2.125
16048,2010-12,1.5000,4.21
16048,2011-01,1.0000,0.85
16048,2011-02,2.0000,0.83
16048,2011-03,1.0000,11.52
16048,2011-04,2.0000,3.71
16048,2011-05,1.0000,10.08
16049,2011-04,1.0000,15.12
16049,2011-05,1.0000,13.392000000000001
16052,2010-12,1.0000,1.68
16052,2011-01,1.0000,6.3
16052,2011-02,1.0000,1.66
16052,2011-04,1.0000,0.83
16052,2011-05,1.6667,4.696
16053,2011-05,1.0000,0
16054,2010-12,1.0000,0.84
16151A,2011-05,1.0000,15.3125
16156L,2011-01,1.0000,10.5
16156L,2011-02,1.0000,10.5
16156L,2011-03,1.0000,10.5
16156L,2011-04,1.0000,10.5
16156L,2011-05,1.0000,10.5
16156S,2010-12,1.0000,10.5
16156S,2011-01,1.0000,11.307692307692308
16156S,2011-02,1.0000,10.5
16156S,2011-03,1.0952,12.456521739130435
16156S,2011-04,1.0000,18.34375
16156S,2011-05,1.0556,14.078947368421053
16161G,2011-03,1.0000,2.5
16161G,2011-04,1.0000,2.5
16161G,2011-05,1.0000,2.5
16161M,2010-12,1.0000,10.5
16161P,2010-12,1.0000,10.5
16161P,2011-01,1.0588,10.523333333333333
16161P,2011-02,1.0000,10.5
16161P,2011-03,1.0000,11.025
16161P,2011-04,1.0000,11.307692307692308
16161P,2011-05,1.0000,10.5
16161U,2010-12,1.0000,10.5
16161U,2011-01,1.0000,10.5
16161U,2011-02,1.0000,11.454545454545455
16161U,2011-03,1.0000,11.375
16161U,2011-04,1.0000,10.5
16161U,2011-05,1.0000,10.5
16162L,2011-01,1.0000,0.65
16168M,2010-12,1.5000,4.21
16168M,2011-01,1.0000,4.483333333333333
16168M,2011-02,1.5000,4.19
16168M,2011-03,1.0000,0.83
16168M,2011-04,1.3333,7.737499999999999
16168M,2011-05,1.5000,4.19
16169K,2010-12,1.0000,10.5
16169K,2011-01,1.0000,10.5
16169K,2011-05,1.0000,10.5
16169M,2011-01,1.0000,10.5
16169M,2011-02,1.0000,14
16169M,2011-03,1.0000,11.34
16169M,2011-04,1.0000,10.5
16169M,2011-05,1.0000,10.5
16169N,2010-12,1.0000,10.5
16169P,2010-12,1.0000,10.5
16169P,2011-04,1.0000,0
16202A,2011-03,1.0000,1.5
16202A,2011-04,1.0000,2
16202B,2011-04,1.0000,4.833333333333333
16202E,2011-04,1.0000,2.5
16206B,2010-12,1.0000,2.5
16206B,2011-01,1.0000,6.25
16207A,2010-12,1.0000,5.9
16207A,2011-02,4.0000,4.1125
16207A,2011-03,1.5000,4.16
16207A,2011-04,5.0000,4.6
16207A,2011-05,5.0000,5.018
16207B,2011-01,1.0000,4.425000000000001
16207B,2011-02,1.0000,0
16207B,2011-04,1.0000,5.79
16207B,2011-05,4.0000,3.6900000000000004
16216,2010-12,1.0000,1.6
16216,2011-02,1.0000,0.9500000000000001
16216,2011-03,1.0000,2.8
16216,2011-04,1.0000,7.95
16216,2011-05,1.0000,0.8
16218,2010-12,2.0000,1.7974999999999999
16218,2011-02,1.0000,12.8
16218,2011-03,1.0000,7.44
16218,2011-04,1.0000,10
16218,2011-05,1.0000,0.8
16219,2010-12,1.0000,2.11
16219,2011-01,1.0000,2.9299999999999997
16219,2011-02,1.2500,3.018
16219,2011-03,1.0000,2.0949999999999998
16219,2011-04,1.0000,9.9
16225,2010-12,2.0000,13.073333333333336
16225,2011-01,2.8000,5.754285714285714
16225,2011-02,1.0000,30
16225,2011-04,1.0000,1.25
16225,2011-05,2.0000,1.25
16235,2010-12,4.0000,2.4749999999999996
16235,2011-01,1.8333,4.701818181818182
16235,2011-02,2.0000,10.450000000000001
16235,2011-03,1.2857,3.815000000000001
16235,2011-04,3.2500,2.778461538461538
16235,2011-05,1.7500,8.010000000000002
16236,2010-12,3.0000,1.3266666666666664
16236,2011-01,2.2500,3.0122222222222224
16236,2011-02,2.0000,1.7850000000000001
16236,2011-03,1.1429,2.7037500000000003
16236,2011-04,1.0000,4.1579999999999995
16236,2011-05,1.1111,4.179
16237,2010-12,2.2857,3.824062500000001
16237,2011-01,2.0000,4.6875
16237,2011-02,1.8750,3.416
16237,2011-03,1.2500,5.482499999999998
16237,2011-04,1.6250,3.3276923076923075
16237,2011-05,1.4167,3.8541176470588234
16238,2010-12,3.5000,1.7457142857142856
16238,2011-01,1.3333,3.1525
16238,2011-02,2.0000,2.6599999999999997
16238,2011-03,1.3333,2.625
16238,2011-04,1.3750,3.646363636363637
16238,2011-05,1.0000,4.83
16244B,2011-04,1.0000,2
16244B,2011-05,1.0000,2.925
16248B,2011-03,1.0000,2.5
16248B,2011-04,1.0000,0
16248B,2011-05,1.0000,1.25
16254,2011-04,1.0000,0
16258A,2010-12,1.2500,0.8400000000000001
16258A,2011-01,1.0000,6.09
16258A,2011-03,1.5000,2.2333333333333334
16258A,2011-04,1.0000,4.2
16258A,2011-05,2.0000,4.402499999999999
16259,2011-03,1.0000,22.68
16259,2011-04,1.0000,22.68
16259,2011-05,1.0000,22.68
17001,2011-02,1.0000,20.88
17003,2010-12,1.6364,11.819444444444446
17003,2011-01,1.4444,40.42307692307692
17003,2011-02,1.0000,10.712
17003,2011-03,1.1538,57.976000000000006
17003,2011-04,1.3000,11.299999999999999
17003,2011-05,1.1667,41.64357142857143
17007B,2010-12,1.0000,25.200000000000003
17011A,2011-01,1.0000,0
17011F,2010-12,1.0000,3.1550000000000002
17011F,2011-01,1.0000,12.600000000000001
17011F,2011-03,1.0000,0
17011F,2011-04,1.0000,15.600000000000001
17011F,2011-05,1.0000,8.125
17012A,2010-12,2.6667,4.642499999999999
17012A,2011-01,4.5000,4.455555555555556
17012A,2011-02,1.0000,2.46
17012A,2011-03,3.5000,4.997142857142857
17012A,2011-04,1.5000,2.4899999999999998
17012A,2011-05,1.0000,11.43
17012B,2010-12,3.0000,5.206666666666665
17012B,2011-01,5.0000,6.303
17012B,2011-02,1.5000,28.839999999999993
17012B,2011-03,3.0000,5.830000000000001
17012B,2011-04,1.5000,2.4899999999999998
17012B,2011-05,1.0000,15.12
17012C,2010-12,1.6000,15.5
17012C,2011-01,2.0000,6.334999999999999
17012C,2011-02,2.5000,2.478
17012C,2011-03,3.0000,5.303333333333334
17012C,2011-04,1.5000,3.34
17012C,2011-05,1.0000,2.46
17012D,2010-12,2.3333,4.701428571428571
17012D,2011-01,2.3333,5.058571428571428
17012D,2011-02,3.0000,2.46
17012D,2011-03,1.5000,6.739999999999999
17012D,2011-04,2.0000,2.46
17012D,2011-05,1.0000,2.46
17012E,2010-12,2.5000,7.464000000000001
17012F,2010-12,2.0000,7.212499999999998
17012F,2011-01,8.0000,3.7212499999999995
17012F,2011-02,1.0000,2.505
17012F,2011-03,2.5000,3.4800000000000004
17012F,2011-04,2.0000,2.505
17012F,2011-05,2.0000,2.46
17013D,2010-12,1.0000,16.209999999999997
17013D,2011-01,1.0000,30.06
17013D,2011-02,1.0000,40.32
17013D,2011-03,1.3333,7.0074999999999985
17013D,2011-04,1.5000,26.88
17013D,2011-05,1.0000,5.04
17014A,2010-12,1.0000,7.68
17014A,2011-02,1.0000,40.32
17014A,2011-03,1.0000,1.65
17014A,2011-04,1.0000,1.05
17014A,2011-05,1.0000,5.04
17021,2010-12,1.0000,28.3
17021,2011-01,1.0000,72.9
17021,2011-02,1.0000,8.1
17021,2011-03,1.0000,5.3999999999999995
17021,2011-04,1.0000,11.34
17021,2011-05,1.0000,7.6499999999999995
17028J,2011-01,1.0000,2.52
17038,2010-12,1.0000,4.3500000000000005
17038,2011-01,1.0000,5.4
17038,2011-02,1.0000,10
17038,2011-03,1.0000,6
17038,2011-04,1.0000,14.000000000000002
17038,2011-05,2.0000,0.83
17084A,2011-01,1.0000,10.5
17084A,2011-02,1.0000,5.25
17084A,2011-03,1.0000,5.25
17084A,2011-04,1.0000,5.25
17084J,2010-12,1.0000,5.25
17084J,2011-01,1.0000,10.5
17084J,2011-02,1.0000,5.25
17084J,2011-03,1.0000,5.25
17084J,2011-04,1.0000,5.25
17084N,2010-12,4.0000,1.355
17084N,2011-01,2.6667,4.18
17084N,2011-02,1.7500,3.36
17084N,2011-03,2.5000,3.528
17084N,2011-04,3.0000,1.505
17084N,2011-05,1.6667,2.6879999999999997
17084P,2010-12,1.0000,2.84
17084P,2011-01,1.5000,4.36
17084P,2011-02,1.0000,3.675
17084P,2011-03,1.5000,2.03
17084P,2011-04,2.0000,0.42
17084R,2010-12,1.0000,91.92
17084R,2011-02,1.0000,15.12
17084R,2011-03,1.0000,18.9
17084R,2011-04,1.0000,19.08
17084R,2011-05,1.0000,25.2
17090A,2010-12,1.0000,13.116666666666665
17090A,2011-01,1.0000,7.5
17090A,2011-02,1.0000,30.599999999999998
17090A,2011-05,1.0000,1.25
17090D,2010-12,1.0000,3.3333333333333335
17090D,2011-02,2.0000,1.25
17090D,2011-03,1.0000,1.25
17090D,2011-05,1.0000,1.25
17091A,2010-12,1.0000,4.5225
17091A,2011-01,1.0000,4.375
17091A,2011-02,1.0000,3.75
17091A,2011-03,1.5000,4.583333333333333
17091A,2011-04,1.0000,1.6466666666666667
17091A,2011-05,1.0000,3.854285714285715
17091J,2010-12,1.0833,11.038461538461538
17091J,2011-01,1.0000,10.45
17091J,2011-02,1.0000,7.5
17091J,2011-03,1.2857,8.014444444444443
17091J,2011-04,1.1667,16.681428571428572
17091J,2011-05,1.0000,7.22
17096,2010-12,1.5000,98.35000000000002
17096,2011-01,1.2000,7.036666666666666
17096,2011-02,1.0000,5.18
17096,2011-03,2.5000,2.268
17096,2011-04,1.0000,13.2
17096,2011-05,1.0000,5.04
17107D,2010-12,1.0000,14.449999999999998
17107D,2011-01,1.0000,15.299999999999999
17107D,2011-02,1.0000,12.112499999999999
17107D,2011-03,1.0000,8.924999999999999
17107D,2011-04,1.0000,6.375
17107D,2011-05,1.0000,11.475
17109D,2010-12,1.0000,3.38
17109D,2011-03,1.0000,8.45
17109D,2011-04,1.3333,5.13
17129F,2010-12,4.0000,2.0749999999999997
17129F,2011-01,4.0000,5.705
17129F,2011-02,5.0000,8.475999999999999
17129F,2011-03,1.5000,8.346666666666666
17129F,2011-04,1.3333,22.0475
17129F,2011-05,2.3333,4.1
17136A,2011-02,2.0000,0.63
17136A,2011-03,1.0000,1.92
17136A,2011-04,1.0000,1.05
17136A,2011-05,1.0000,1.92
17164B,2010-12,1.0000,1.26
17164B,2011-01,1.0000,1.428
17165D,2010-12,1.0000,4.725
17165D,2011-01,1.2500,1.8900000000000001
17174,2011-01,1.0000,0.42
18007,2010-12,1.6000,1.875
18007,2011-01,2.0000,1.6125
18007,2011-02,1.0000,37.754999999999995
18007,2011-03,1.5000,3.26
18007,2011-04,1.0000,2.37
18007,2011-05,1.0000,2.175
18094C,2010-12,1.3333,5.945
18094C,2011-01,2.0000,2.51
18094C,2011-02,4.0000,4.305
18094C,2011-03,2.0000,5.2525
18094C,2011-04,1.6667,8.532
18094C,2011-05,1.5000,7.48
18097A,2010-12,1.0000,2.55
18097A,2011-03,1.0000,5.1
18097C,2010-12,1.1667,13.64357142857143
18097C,2011-01,1.0000,38.669999999999995
18097C,2011-02,1.1667,10.888571428571428
18097C,2011-03,1.0000,18.4875
18097C,2011-04,1.1429,16.6525
18097C,2011-05,1.2500,118.89399999999998
18098C,2010-12,2.6667,16.9715
18098C,2011-01,1.0000,12.973636363636366
18098C,2011-02,1.0000,2.9500000000000006
18098C,2011-03,1.0000,19.175000000000004
18098C,2011-05,1.0000,1.475
20615,2010-12,3.0000,3.9500000000000006
20615,2011-01,4.2500,3.30235294117647
20615,2011-02,2.6667,5.993750000000001
20615,2011-03,1.3333,9.922500000000001
20615,2011-04,1.0000,3.115
20615,2011-05,1.5000,3.453333333333333
20616,2010-12,1.6667,10.565999999999999
20616,2011-01,4.5000,1.8866666666666667
20616,2011-02,1.5000,5.830000000000001
20616,2011-03,4.0000,2.0374999999999996
20616,2011-04,4.5000,1.9599999999999993
20616,2011-05,1.8000,1.8388888888888886
20617,2010-12,1.6667,6.550000000000002
20617,2011-01,2.0000,2.6912500000000006
20617,2011-02,1.0000,3.115
20617,2011-04,1.0000,7.533333333333334
20617,2011-05,1.0000,6.300000000000001
20618,2010-12,1.6667,3.1879999999999997
20618,2011-01,3.5000,2.7235714285714288
20618,2011-02,2.0000,2.8366666666666664
20618,2011-03,5.0000,2.4559999999999995
20618,2011-04,2.3333,5.774285714285715
20618,2011-05,1.4000,2.4314285714285715
20619,2010-12,1.5000,15.063333333333333
20619,2011-01,2.2000,4.553636363636364
20619,2011-02,3.0000,3.444444444444444
20619,2011-03,5.0000,6.845000000000001
20619,2011-04,6.5000,2.8530769230769226
20619,2011-05,4.5000,3.1833333333333322
20622,2010-12,2.2500,7.506666666666667
20622,2011-01,1.8000,5.851111111111111
20622,2011-02,1.0000,6.300000000000001
20622,2011-03,1.0000,12.600000000000001
20622,2011-04,1.2500,6.634
20622,2011-05,1.0000,3.3600000000000003
20652,2010-12,2.5000,2.516
20652,2011-01,6.0000,2.9987499999999994
20652,2011-02,2.0000,5.3025
20652,2011-03,1.0000,6.5425
20652,2011-04,1.0000,2.46
20652,2011-05,1.3333,5.605
20653,2010-12,2.0000,2.51
20653,2011-01,11.0000,1.3081818181818181
20653,2011-02,2.0000,2.46
20653,2011-03,1.0000,9.96
20653,2011-04,1.0000,2.46
20653,2011-05,2.0000,2.46
20654,2010-12,1.0000,3.0666666666666664
20654,2011-01,2.6000,1.9299999999999997
20654,2011-02,1.0000,8.125
20654,2011-03,1.0000,11.19
20654,2011-04,1.0000,8.82
20654,2011-05,1.0000,3.75
20655,2010-12,1.8000,2.231111111111111
20655,2011-01,5.7500,1.996086956521739
20655,2011-02,1.6667,2.7260000000000004
20655,2011-03,3.0000,3.091666666666667
20655,2011-04,1.5000,4.398333333333333
20655,2011-05,1.0000,6.236666666666667
20657,2010-12,1.0000,1.25
20657,2011-01,1.0000,1.25
20657,2011-02,1.3333,5.3125
20657,2011-03,1.0000,2.5
20657,2011-04,1.0000,3.125
20657,2011-05,1.0000,2.46
20658,2010-12,1.8182,4.195
20658,2011-01,1.0909,4.16
20658,2011-02,1.6000,9.51125
20658,2011-03,1.4545,8.153125
20658,2011-04,1.0000,18.4375
20658,2011-05,2.0000,2.8866666666666667
20659,2010-12,1.2500,2.592
20659,2011-01,5.5000,1.6481818181818182
20659,2011-02,1.0000,3.105
20659,2011-03,1.0000,8.025
20659,2011-04,1.5000,5.88
20661,2010-12,1.0000,2.95
20662,2010-12,3.0000,2.51
20662,2011-01,2.0000,5.508333333333334
20662,2011-02,2.0000,3.1975
20662,2011-04,2.0000,3.69
20663,2010-12,1.5000,2.6566666666666667
20663,2011-01,4.0000,3.1799999999999997
20663,2011-02,2.0000,2.46
20663,2011-03,1.0000,2.46
20663,2011-04,1.0000,2.46
20663,2011-05,1.0000,2.46
20664,2010-12,1.0000,5.900000000000001
20664,2011-05,1.0000,0
20665,2010-12,2.3636,8.289999999999996
20665,2011-01,2.0000,11.010000000000002
20665,2011-02,1.2857,12.418888888888892
20665,2011-03,1.6667,8.609333333333337
20665,2011-04,1.3333,11.5175
20665,2011-05,1.4545,11.581249999999999
20666,2010-12,1.0000,2.95
20666,2011-03,1.0000,2.95
20666,2011-04,1.0000,2.95
20667,2011-05,1.0000,2.95
20668,2010-12,1.7333,8.102692307692307
20668,2011-01,2.5000,2.2339999999999995
20668,2011-02,1.3333,1.9649999999999999
20668,2011-03,2.3333,5.871428571428571
20668,2011-04,1.0000,2.7999999999999994
20668,2011-05,1.2000,2.84
20669,2010-12,2.1429,4.508666666666667
20669,2011-01,1.1250,7.75111111111111
20669,2011-02,1.0000,4.785
20669,2011-05,1.0000,2.9166666666666665
20670,2010-12,1.0000,2.95
20670,2011-04,1.0000,2.95
20670,2011-05,1.0000,5.9
20671,2010-12,1.0000,6.25
20671,2011-03,1.0000,0
20674,2010-12,1.1818,5.483846153846153
20674,2011-01,1.1250,14.994999999999997
20674,2011-02,1.2000,12.629444444444447
20674,2011-03,1.5000,6.059333333333333
20674,2011-04,1.5385,7.913500000000001
20674,2011-05,1.7778,13.968750000000002
20675,2010-12,1.2143,9.638823529411766
20675,2011-01,1.7500,16.895357142857144
20675,2011-02,1.3913,14.190624999999999
20675,2011-03,1.4348,17.935151515151517
20675,2011-04,1.4762,8.877741935483872
20675,2011-05,1.3333,12.36625
20676,2010-12,1.6000,9.7175
20676,2011-01,1.6538,24.19348837209303
20676,2011-02,1.4231,15.225945945945947
20676,2011-03,1.7500,17.130408163265304
20676,2011-04,1.4783,11.489411764705881
20676,2011-05,1.7368,11.56151515151515
20677,2010-12,1.7143,12.554166666666669
20677,2011-01,2.0833,14.276399999999997
20677,2011-02,1.5714,15.09272727272727
20677,2011-03,1.5882,22.614444444444448
20677,2011-04,1.4500,11.092758620689654
20677,2011-05,1.6000,13.994166666666665
20679,2010-12,1.6842,27.264062500000016
20679,2011-01,1.0455,35.46826086956522
20679,2011-02,1.4375,20.654782608695648
20679,2011-03,1.3333,22.126666666666665
20679,2011-04,1.1818,18.894615384615385
20679,2011-05,1.4615,49.57368421052631
20681,2010-12,1.5455,10.466470588235294
20681,2011-01,1.0667,11.39125
20681,2011-02,1.2500,12.063999999999998
20681,2011-03,1.6667,5.226
20682,2010-12,2.1429,14.489
20682,2011-01,1.2000,17.939166666666665
20682,2011-02,1.2727,13.037142857142856
20682,2011-03,1.1818,27.47230769230769
20682,2011-04,1.0000,13
20682,2011-05,1.5000,17.145555555555557
20684,2010-12,2.0000,4.468333333333333
20684,2011-01,1.0000,13
20684,2011-02,1.0000,15.4375
20684,2011-03,1.0000,7.3125
20684,2011-04,1.0000,6.5
20684,2011-05,1.0000,4.875
20685,2010-12,1.2963,42.60514285714289
20685,2011-01,1.4038,31.562739726027417
20685,2011-02,1.3333,28.03846153846156
20685,2011-03,1.2364,27.6208823529412
20685,2011-04,1.0930,20.855531914893614
20685,2011-05,1.1698,54.85451612903229
20686,2010-12,1.6000,9.952499999999999
20686,2011-01,1.0000,13
20686,2011-02,1.0000,13.675999999999998
20686,2011-03,1.0000,7.063333333333333
20686,2011-04,1.0000,7.583333333333333
20686,2011-05,1.0000,6.5
20689,2011-03,1.0000,0
20694,2010-12,2.0000,7.62
20694,2011-02,1.0000,10.3025
20694,2011-03,1.0000,14.96
20694,2011-04,1.0000,3.75
20694,2011-05,1.0000,7.46
20695,2010-12,1.0000,4.25
20695,2011-03,1.0000,4.25
20696,2010-12,2.0000,10.62
20696,2011-01,10.0000,3.9829999999999997
20696,2011-02,1.0000,3.75
20696,2011-04,1.0000,7.46
20697,2010-12,1.0000,2.55
20697,2011-01,1.0000,2.55
20697,2011-05,1.0000,7.6499999999999995
20698,2011-01,1.0000,3.8249999999999997
20698,2011-05,1.0000,7.6499999999999995
20699,2010-12,5.0000,6.063999999999999
20699,2011-01,11.5000,6.490869565217391
20699,2011-02,1.0000,8.924999999999999
20699,2011-03,1.0000,8.924999999999999
20700,2010-12,1.5000,8.03
20700,2011-01,2.0000,10.17
20700,2011-02,2.0000,9.96
20700,2011-03,1.0000,9.96
20700,2011-04,1.0000,9.96
20700,2011-05,4.0000,6.005
20701,2010-12,1.0000,3.75
20701,2011-04,1.0000,0
20701,2011-05,8.0000,5.1625
20702,2010-12,1.0000,27.625
20702,2011-01,1.0000,11.6875
20702,2011-02,1.0000,20.1875
20702,2011-03,1.0000,16.291666666666668
20702,2011-04,1.0000,10.09375
20702,2011-05,1.3333,18.009999999999998
20703,2011-04,1.0000,4.25
20704,2010-12,1.0000,17.043
20704,2011-01,1.0000,20.604999999999997
20704,2011-02,1.0000,6.95
20704,2011-03,1.0000,13.9
20704,2011-04,1.0000,14.015
20704,2011-05,1.0000,13.9
20705,2010-12,1.0000,18.2
20705,2011-01,1.0000,23.4
20705,2011-02,1.0000,6.95
20705,2011-03,1.0000,20.85
20705,2011-04,1.0000,13.9
20705,2011-05,1.0000,13.9
20707,2010-12,1.3333,1.88
20707,2011-01,3.0000,2.466666666666667
20707,2011-02,4.2500,2.6900000000000004
20707,2011-03,6.0000,2.0762499999999995
20707,2011-04,9.0000,3.811111111111111
20707,2011-05,5.0000,3.2159999999999997
20711,2010-12,2.0833,29.157200000000003
20711,2011-01,1.8750,24.511333333333337
20711,2011-02,2.4667,29.54108108108108
20711,2011-03,2.1154,37.36545454545455
20711,2011-04,1.9375,14.986451612903224
20711,2011-05,2.2903,16.928873239436616
20712,2010-12,1.7500,26.637142857142862
20712,2011-01,1.6471,20.75035714285715
20712,2011-02,2.5238,18.064905660377356
20712,2011-03,1.9744,35.21350649350651
20712,2011-04,1.7931,17.633846153846147
20712,2011-05,2.3784,22.66602272727273
20713,2010-12,1.4848,19.673673469387754
20713,2011-01,1.7857,27.7832
20713,2011-02,2.3548,23.15917808219179
20713,2011-03,1.9318,33.710117647058844
20716,2010-12,1.5000,4.727777777777777
20716,2011-01,1.4000,9.811428571428573
20716,2011-02,1.0000,9.576666666666666
20716,2011-03,1.1000,7.947272727272727
