YM,city,state,order_status,order_cnt,customer_cnt,rev
2016-10,gaspar,SC,delivered,1,1,29.9
2016-10,goiania,GO,delivered,4,4,676.6899999999999
2016-10,goiania,GO,shipped,1,1,79.9
2016-10,gravatal,SC,delivered,1,1,739.98
2016-10,guapimirim,RJ,delivered,1,1,389
2016-10,guarulhos,SP,delivered,1,1,79.9
2016-10,hortolandia,SP,delivered,1,1,119.9
2016-10,iacu,BA,delivered,1,1,54.9
2016-10,ibimirim,PE,delivered,1,1,149.9
2016-10,ibirite,MG,delivered,1,1,128.9
2016-10,igarassu,PE,delivered,1,1,649
2016-10,indaiatuba,SP,delivered,1,1,99.9
2016-10,ipatinga,MG,delivered,1,1,74.9
2016-10,itabuna,BA,invoiced,1,1,649.17
2016-10,itaquaquecetuba,SP,delivered,1,1,949.99
2016-10,itu,SP,shipped,1,1,69.9
2016-10,ituiutaba,MG,delivered,1,1,44.9
2016-10,jacarei,SP,delivered,1,1,22.9
2016-10,jaguariuna,SP,invoiced,1,1,189.9
2016-10,"juiz de fora",MG,delivered,2,2,619.9
2016-10,"lagoa santa",MG,shipped,1,1,22.37
2016-10,leme,SP,delivered,1,1,294.9
2016-10,limeira,SP,delivered,3,2,932.8
2016-10,lins,SP,delivered,1,1,18.9
2016-10,londrina,PR,delivered,4,4,358.77
2016-10,macae,RJ,delivered,1,1,62.9
2016-10,maceio,AL,delivered,1,1,49.99
2016-10,marica,RJ,delivered,1,1,69.99
2016-10,marica,RJ,invoiced,1,1,311
2016-10,maringa,PR,delivered,1,1,249
2016-10,maua,SP,delivered,2,2,329.89
2016-10,mesquita,RJ,delivered,1,1,45.89
2016-10,"mimoso do sul",ES,invoiced,1,1,58
2016-10,mogi-guacu,SP,delivered,1,1,128.9
2016-10,mongagua,SP,delivered,2,1,219.8
2016-10,"montes claros",MG,delivered,1,1,379.9
2016-10,mozarlandia,GO,delivered,1,1,128.9
2016-10,nanuque,MG,delivered,1,1,129.97
2016-10,natal,RN,delivered,3,2,561.79
2016-10,niteroi,RJ,delivered,1,1,299.9
2016-10,"nossa senhora da gloria",SE,delivered,1,1,161.55
2016-10,"nova esperanca",PR,delivered,2,1,79.8
2016-10,"novo hamburgo",RS,delivered,1,1,49.99
2016-10,"novo progresso",PA,delivered,3,1,179.7
2016-10,osasco,SP,delivered,1,1,79.9
2016-10,"ouro preto",MG,delivered,1,1,51.5
2016-10,panambi,RS,delivered,1,1,21.9
2016-10,paracuru,CE,canceled,1,1,0
2016-10,parnamirim,RN,delivered,1,1,148
2016-10,parobe,RS,delivered,1,1,89.9
2016-10,pauliceia,SP,delivered,1,1,128.9
2016-10,petropolis,RJ,delivered,1,1,15.9
2016-10,piracicaba,SP,delivered,1,1,99.9
2016-10,pirassununga,SP,delivered,1,1,149.99
2016-10,poa,SP,delivered,1,1,79.99
2016-10,"pocos de caldas",MG,delivered,3,2,229.79000000000002
2016-10,"pocos de caldas",MG,invoiced,4,1,152
2016-10,"porto alegre",RS,delivered,2,2,136.39000000000001
2016-10,"porto alegre",RS,invoiced,2,2,320.97
2016-10,"porto alegre",RS,shipped,3,2,357.8
2016-10,"porto alegre",RS,unavailable,1,1,249.9
2016-10,"praia grande",SP,delivered,2,2,209.8
2016-10,quissama,RJ,canceled,1,1,1299.99
2016-10,recife,PE,delivered,4,4,450.70000000000005
2016-10,"ribeirao preto",SP,delivered,2,1,499.8
2016-10,rinopolis,SP,invoiced,1,1,64.8
2016-10,"rio branco do sul",PR,delivered,1,1,18.9
2016-10,"rio das pedras",SP,invoiced,1,1,15
2016-10,"rio de janeiro",RJ,canceled,9,9,371.39
2016-10,"rio de janeiro",RJ,delivered,33,27,6211.199999999998
2016-10,"rio de janeiro",RJ,invoiced,1,1,599
2016-10,"rio de janeiro",RJ,shipped,1,1,59.9
2016-10,"rondon do para",PA,delivered,1,1,629.9
2016-10,salto,SP,delivered,1,1,179.9
2016-10,"salto veloso",SC,delivered,1,1,199
2016-10,"santa cruz",RN,delivered,1,1,18.9
2016-10,"santa cruz do sul",RS,delivered,1,1,39.99
2016-10,"santa ines",MA,delivered,1,1,19.9
2016-10,"santa isabel",SP,delivered,1,1,86.99
2016-10,"santa rosa",RS,delivered,1,1,24.9
2016-10,santarem,PA,delivered,1,1,89
2016-10,"santo andre",SP,delivered,3,3,341.29999999999995
2016-10,"santo angelo",RS,delivered,2,2,129.8
2016-10,"santo antonio da patrulha",RS,delivered,1,1,949.99
2016-10,"santo antonio de padua",RJ,delivered,1,1,39.9
2016-10,"santo antonio do sudoeste",PR,delivered,1,1,49
2016-10,santos,SP,delivered,2,2,453.33000000000004
2016-10,"sao bernardo do campo",SP,delivered,3,3,102.78999999999999
2016-10,"sao caetano do sul",SP,delivered,1,1,89.9
2016-10,"sao carlos",SP,delivered,2,2,69.89
2016-10,"sao francisco",SE,delivered,1,1,65.9
2016-10,"sao goncalo",RJ,delivered,3,3,838.8
2016-10,"sao goncalo do sapucai",MG,invoiced,1,1,49.9
2016-10,"sao joao da boa vista",SP,delivered,1,1,249.9
2016-10,"sao jose",SC,delivered,2,2,379.89
2016-10,"sao jose de ribamar",MA,delivered,1,1,176.97
2016-10,"sao jose do rio pardo",SP,delivered,1,1,138
2016-10,"sao jose dos campos",SP,delivered,1,1,16.9
2016-10,"sao jose dos campos",SP,invoiced,1,1,164
2016-10,"sao jose dos pinhais",PR,delivered,1,1,59.9
2016-10,"sao lourenco",MG,delivered,1,1,56
2016-10,"sao luis",MA,delivered,6,1,467.4
2016-10,"sao paulo",SP,canceled,4,3,209.8
2016-10,"sao paulo",SP,delivered,36,31,3489.900000000001
2016-10,"sao paulo",SP,invoiced,1,1,31.89
2016-10,"sao paulo",SP,processing,1,1,267
2016-10,"sao sebastiao",SP,processing,1,1,95
2016-10,"senador canedo",GO,delivered,1,1,49.9
2016-10,"serra negra",SP,delivered,1,1,99.9
2016-10,sertaozinho,SP,delivered,1,1,24.9
2016-10,sinop,MT,canceled,1,1,0
2016-10,"siqueira campos",PR,delivered,1,1,299.99
2016-10,sobral,CE,delivered,1,1,59.9
2016-10,"soledade de minas",MG,delivered,1,1,119.9
2016-10,sorocaba,SP,delivered,1,1,86.99
2016-10,sumare,SP,canceled,1,1,0
2016-10,suzano,SP,delivered,2,2,299.89
2016-10,suzano,SP,unavailable,1,1,35
2016-10,tapejara,RS,delivered,1,1,128.9
2016-10,tatui,SP,delivered,2,1,199.8
2016-10,taubate,SP,delivered,3,3,159.79000000000002
2016-10,teresina,PI,delivered,1,1,210
2016-10,uberlandia,MG,delivered,2,2,479.89
2016-10,uruguaiana,RS,canceled,1,1,239.9
2016-10,valinhos,SP,delivered,1,1,88
2016-10,vargem,SP,delivered,1,1,29.9
2016-10,"vargem grande paulista",SP,unavailable,1,1,1199
2016-10,varginha,MG,delivered,3,2,179.88
2016-10,"vila velha",ES,delivered,1,1,689.99
2016-10,xanxere,SC,delivered,4,1,599.6
2016-12,curitiba,PR,delivered,1,1,10.9
2017-01,"agua boa",MT,delivered,1,1,18.99
2017-01,alpinopolis,MG,delivered,1,1,42.99
2017-01,alvinopolis,MG,delivered,1,1,59.9
2017-01,ampere,PR,processing,1,1,174.4
2017-01,ananindeua,PA,delivered,1,1,19.9
2017-01,andradina,SP,delivered,1,1,339.74
2017-01,angatuba,SP,delivered,1,1,45
2017-01,"angra dos reis",RJ,delivered,2,2,413.6
2017-01,"aparecida de goiania",GO,delivered,1,1,23.9
2017-01,aracaju,SE,delivered,2,2,84.9
2017-01,aracitaba,MG,delivered,1,1,49.9
2017-01,ararangua,SC,delivered,1,1,59.9
2017-01,araraquara,SP,delivered,1,1,34.9
2017-01,araucaria,PR,delivered,1,1,23.9
2017-01,araujos,MG,delivered,1,1,380
2017-01,araxa,MG,delivered,4,1,559.6
2017-01,areias,SP,delivered,1,1,89.9
2017-01,ariranha,SP,delivered,1,1,11.2
2017-01,aruja,SP,delivered,1,1,189.99
2017-01,atibaia,SP,delivered,2,2,50.87
2017-01,aurora,CE,delivered,1,1,279
2017-01,"balneario camboriu",SC,delivered,2,1,713.6
2017-01,"balneario pinhal",RS,unavailable,1,1,0
2017-01,"barao de cocais",MG,delivered,1,1,29.99
2017-01,barbacena,MG,delivered,1,1,139.99
2017-01,bariri,SP,delivered,1,1,129
2017-01,"barra do garcas",MT,delivered,1,1,99
2017-01,"barra do pirai",RJ,processing,1,1,174.4
2017-01,"barra mansa",RJ,delivered,1,1,10.99
2017-01,barretos,SP,delivered,1,1,134.17
2017-01,bastos,SP,delivered,1,1,37.99
2017-01,bauru,SP,delivered,1,1,12.9
2017-01,bauru,SP,invoiced,1,1,179.99
2017-01,belem,PA,delivered,5,5,379.67999999999995
2017-01,belem,PA,shipped,1,1,169.9
2017-01,"belo horizonte",MG,delivered,18,16,2465.62
2017-01,"belo horizonte",MG,unavailable,1,1,0
2017-01,"bento goncalves",RS,delivered,1,1,176.99
2017-01,blumenau,SC,delivered,2,2,124.88999999999999
2017-01,blumenau,SC,shipped,1,1,109.99
2017-01,"boa esperanca",ES,delivered,1,1,349.9
2017-01,"boa vista das missoes",RS,delivered,1,1,349.9
2017-01,"boa vista do gurupi",MA,delivered,1,1,63.9
2017-01,bocaiuva,MG,delivered,1,1,23.9
2017-01,boituva,SP,shipped,1,1,65.9
2017-01,"bom jesus dos perdoes",SP,delivered,1,1,109.9
2017-01,botucatu,SP,delivered,1,1,137.99
2017-01,"braganca paulista",SP,delivered,1,1,164.99
2017-01,brasilia,DF,delivered,15,13,1826.63
2017-01,brotas,SP,delivered,2,1,279.98
2017-01,buriticupu,MA,delivered,1,1,50.9
2017-01,buriticupu,MA,shipped,1,1,54.99
2017-01,cacapava,SP,delivered,2,2,94.99
2017-01,"cachoeira de minas",MG,delivered,1,1,119.9
2017-01,cachoeirinha,RS,delivered,3,2,76.59
2017-01,"cachoeiro de itapemirim",ES,delivered,1,1,51.9
2017-01,caieiras,SP,canceled,1,1,49.7
2017-01,caieiras,SP,delivered,1,1,467
2017-01,cajamar,SP,shipped,1,1,89.9
2017-01,camaragibe,PE,delivered,1,1,119.9
2017-01,campinas,SP,delivered,11,7,1065.48
2017-01,"campo bom",RS,delivered,1,1,164.99
2017-01,"campo grande",MS,delivered,1,1,149
2017-01,"campo limpo paulista",SP,delivered,1,1,45.9
2017-01,"campos borges",RS,delivered,1,1,699
2017-01,"campos do jordao",SP,delivered,1,1,59.9
2017-01,"campos dos goytacazes",RJ,delivered,1,1,44.95
2017-01,canoas,RS,delivered,7,5,348.21999999999997
2017-01,capivari,SP,delivered,2,2,263.8
2017-01,caraguatatuba,SP,delivered,1,1,129.9
2017-01,caratinga,MG,delivered,2,2,459.89
2017-01,cardoso,SP,delivered,1,1,380
2017-01,carmo,RJ,delivered,1,1,109.9
2017-01,"carmo do cajuru",MG,delivered,1,1,59.5
2017-01,carpina,PE,delivered,1,1,113
2017-01,carrancas,MG,delivered,1,1,59.9
2017-01,caruaru,PE,delivered,1,1,349.9
2017-01,cascavel,PR,delivered,2,2,152.9
2017-01,castanhal,PA,delivered,1,1,119.9
2017-01,"catole do rocha",PB,delivered,1,1,349.9
2017-01,caucaia,CE,delivered,1,1,33.9
2017-01,"caxias do sul",RS,delivered,2,2,143.89
2017-01,"cesario lange",SP,delivered,1,1,29.4
2017-01,"cha grande",PE,delivered,1,1,164.89
2017-01,cianorte,PR,delivered,2,1,47.8
2017-01,"cocal do sul",SC,delivered,1,1,117.3
2017-01,"colonia leopoldina",AL,delivered,2,1,263.98
2017-01,"comendador levy gasparian",RJ,delivered,1,1,19
2017-01,"conceicao do araguaia",PA,delivered,1,1,379
2017-01,"conceicao do tocantins",TO,delivered,1,1,279.99
2017-01,congonhas,MG,delivered,1,1,184.99
2017-01,"conselheiro lafaiete",MG,delivered,1,1,45.9
2017-01,contagem,MG,delivered,3,3,558.97
2017-01,contagem,MG,invoiced,1,1,69.99
2017-01,"cornelio procopio",PR,delivered,1,1,349.99
2017-01,"coronel fabriciano",MG,delivered,2,2,227.5
2017-01,cotia,SP,delivered,2,2,179.99
2017-01,cravinhos,SP,delivered,1,1,27.5
2017-01,criciuma,SC,delivered,1,1,173.85
2017-01,"cristais paulista",SP,delivered,1,1,99.9
2017-01,crixas,GO,delivered,1,1,64.99
2017-01,"cruzeiro da fortaleza",MG,delivered,1,1,79.9
2017-01,cuiaba,MT,delivered,5,4,1078.96
2017-01,cuiaba,MT,shipped,1,1,209.9
2017-01,curaca,BA,delivered,1,1,30
2017-01,curitiba,PR,canceled,1,1,164.9
2017-01,curitiba,PR,delivered,39,38,1321.2300000000005
2017-01,divinopolis,MG,delivered,2,2,750
2017-01,"dois vizinhos",PR,delivered,1,1,20.9
2017-01,"dois vizinhos",PR,shipped,2,1,97.6
2017-01,"dom pedrito",RS,delivered,1,1,669
2017-01,"duque de caxias",RJ,delivered,5,5,262.69
2017-01,"duque de caxias",RJ,unavailable,1,1,0
2017-01,embu,SP,delivered,5,2,445.5
2017-01,embu-guacu,SP,delivered,1,1,109.2
2017-01,"encruzilhada do sul",RS,delivered,1,1,99.99
2017-01,esteio,RS,delivered,1,1,23.9
2017-01,extrema,MG,delivered,1,1,186
2017-01,fatima,BA,delivered,1,1,92.1
2017-01,faxinal,PR,delivered,1,1,442.95
2017-01,faxinalzinho,RS,delivered,1,1,19.9
2017-01,"feira de santana",BA,delivered,3,3,245.70000000000002
2017-01,feliz,RS,delivered,1,1,10.99
2017-01,flores,CE,delivered,1,1,129.9
2017-01,floriano,PI,delivered,1,1,669
2017-01,florianopolis,SC,delivered,5,3,432.9599999999999
2017-01,formiga,MG,delivered,1,1,380
2017-01,formigueiro,RS,delivered,1,1,229.9
2017-01,fortaleza,CE,delivered,5,5,451.68999999999994
2017-01,fortaleza,CE,invoiced,1,1,155
2017-01,"foz do iguacu",PR,delivered,1,1,26.9
2017-01,franca,SP,delivered,3,2,141.79
2017-01,"francisco morato",SP,delivered,1,1,14.5
2017-01,"franco da rocha",SP,delivered,2,2,128.89
2017-01,"frederico westphalen",RS,delivered,1,1,63.99
2017-01,fundao,ES,delivered,1,1,64.9
2017-01,fundao,ES,invoiced,1,1,719.88
2017-01,goiania,GO,delivered,22,6,1773.0800000000002
2017-01,gouveia,MG,delivered,1,1,380
2017-01,"governador valadares",MG,delivered,1,1,127.9
2017-01,gravatai,RS,delivered,2,2,109.8
2017-01,guapimirim,RJ,delivered,1,1,54.9
2017-01,guararema,SP,delivered,1,1,89.9
2017-01,guaratingueta,SP,delivered,2,2,134.9
2017-01,guaratuba,PR,delivered,1,1,349.9
2017-01,guaruja,SP,delivered,7,6,755.38
2017-01,guarulhos,SP,delivered,8,6,1009.37
2017-01,guarulhos,SP,invoiced,1,1,155
2017-01,holambra,SP,delivered,2,2,87.4
2017-01,hortolandia,SP,delivered,1,1,45
2017-01,iapu,MG,delivered,1,1,223.9
2017-01,ibirite,MG,delivered,3,3,267
2017-01,ibiuna,SP,delivered,1,1,30.97
2017-01,iconha,ES,delivered,1,1,20.9
2017-01,imbituba,SC,processing,1,1,659.99
2017-01,indaiatuba,SP,delivered,3,3,409.97
2017-01,inhambupe,BA,delivered,1,1,249
2017-01,ipatinga,MG,delivered,4,2,184.8
2017-01,ipaussu,SP,delivered,1,1,147.9
2017-01,ipora,GO,delivered,2,2,86.80000000000001
2017-01,irece,BA,delivered,1,1,65
2017-01,itabaiana,SE,delivered,1,1,65.9
2017-01,itaberaba,BA,delivered,1,1,45.89
2017-01,itabira,MG,delivered,5,4,617.6999999999999
2017-01,itaborai,RJ,delivered,2,2,459.89
2017-01,itabuna,BA,delivered,1,1,159.9
2017-01,itaipava,ES,delivered,1,1,30.97
2017-01,itajai,SC,delivered,5,1,119.5
2017-01,itajuba,MG,delivered,4,3,114.78
2017-01,itamarandiba,MG,delivered,1,1,279.99
2017-01,itaocara,RJ,delivered,1,1,24.9
2017-01,"itapecerica da serra",SP,delivered,1,1,23.9
2017-01,itapema,SC,delivered,1,1,176
2017-01,itapetininga,SP,delivered,1,1,223.9
2017-01,itapevi,SP,delivered,6,5,668.58
2017-01,itaquaquecetuba,SP,canceled,1,1,0
2017-01,itaquaquecetuba,SP,delivered,1,1,69.9
2017-01,itatiba,SP,delivered,1,1,38.5
2017-01,itu,SP,delivered,1,1,104.9
2017-01,ituporanga,SC,delivered,1,1,439
2017-01,jacarei,SP,delivered,1,1,223.9
2017-01,jales,SP,delivered,1,1,49.9
2017-01,jambeiro,SP,delivered,2,1,79.98
2017-01,jandira,SP,delivered,3,3,171.8
2017-01,janiopolis,PR,delivered,2,1,31.98
2017-01,"jaragua do sul",SC,delivered,1,1,223.9
2017-01,jari,RS,delivered,1,1,24.9
2017-01,jarinu,SP,delivered,1,1,177
2017-01,jatai,GO,delivered,2,2,247.29000000000002
2017-01,jequie,BA,delivered,1,1,139
2017-01,"joao monlevade",MG,shipped,1,1,17.95
2017-01,"joao pessoa",PB,delivered,1,1,59.9
2017-01,joinville,SC,delivered,1,1,498.99
2017-01,juazeiro,BA,delivered,1,1,370
2017-01,juazeiro,BA,shipped,1,1,168
2017-01,"juiz de fora",MG,delivered,3,3,666.88
2017-01,jundiai,SP,delivered,7,6,598.58
2017-01,juvenilia,MG,delivered,2,1,37.98
2017-01,lages,SC,delivered,1,1,117.3
2017-01,"lagoa santa",MG,delivered,1,1,109.9
2017-01,lajeado,RS,delivered,1,1,28.9
2017-01,"laranjal paulista",SP,delivered,1,1,294.9
2017-01,"lauro de freitas",BA,delivered,1,1,99.99
2017-01,lavras,MG,delivered,1,1,59.9
2017-01,limeira,SP,delivered,1,1,42.99
2017-01,lins,SP,delivered,1,1,69.9
2017-01,loanda,PR,delivered,1,1,380
2017-01,londrina,PR,delivered,1,1,79.9
2017-01,lorena,SP,delivered,1,1,49
2017-01,mage,RJ,delivered,1,1,19.99
2017-01,mairinque,SP,delivered,3,1,358.79999999999995
2017-01,mangueirinha,PR,delivered,2,1,798
2017-01,manhuacu,MG,delivered,1,1,89.9
2017-01,mantena,MG,delivered,1,1,54.9
2017-01,mariana,MG,delivered,1,1,239.99
2017-01,marica,RJ,delivered,1,1,149.99
2017-01,marilia,SP,delivered,3,3,645.89
2017-01,maringa,PR,delivered,4,4,564.3
2017-01,"martinho campos",MG,delivered,1,1,380
2017-01,matao,SP,delivered,1,1,689.89
2017-01,matinhos,PR,delivered,1,1,59.99
2017-01,maua,SP,delivered,1,1,129.9
2017-01,maurilandia,GO,delivered,1,1,87.74
2017-01,mirassol,SP,delivered,1,1,29.9
2017-01,mococa,SP,delivered,1,1,199.99
2017-01,"mogi das cruzes",SP,delivered,3,2,170
2017-01,"mogi mirim",SP,delivered,1,1,64.99
2017-01,mogi-guacu,SP,delivered,12,3,947.8999999999997
2017-01,"monte azul paulista",SP,delivered,1,1,89.99
2017-01,"monte carmelo",MG,delivered,1,1,22.3
2017-01,"montes claros",MG,delivered,6,2,428.04
2017-01,muzambinho,MG,delivered,1,1,119.99
2017-01,natal,RN,delivered,4,4,974.88
2017-01,navegantes,SC,delivered,1,1,209.9
2017-01,nilopolis,RJ,delivered,1,1,131.99
2017-01,niteroi,RJ,delivered,7,4,463.9
2017-01,niteroi,RJ,processing,1,1,81
2017-01,"nova friburgo",RJ,delivered,3,2,224.8
2017-01,"nova iguacu",RJ,delivered,7,6,1341.6899999999998
2017-01,"nova odessa",SP,delivered,1,1,45
2017-01,"nova serrana",MG,invoiced,1,1,310
2017-01,"novo gama",GO,delivered,1,1,139.9
2017-01,"novo hamburgo",RS,delivered,2,2,193.73000000000002
2017-01,olinda,PE,delivered,1,1,168
2017-01,osasco,SP,delivered,1,1,26.99
2017-01,ourinhos,SP,delivered,2,2,119.80000000000001
2017-01,"ouro branco",MG,delivered,1,1,45.89
2017-01,"ouro preto",MG,delivered,2,2,127.69999999999999
2017-01,palhoca,SC,delivered,2,1,139.8
2017-01,palmas,PR,delivered,1,1,102.5
2017-01,paracatu,MG,delivered,1,1,129.99
2017-01,paranagua,PR,delivered,2,1,29.8
2017-01,paraty,RJ,delivered,1,1,48.9
2017-01,parnamirim,RN,delivered,1,1,149.99
2017-01,passos,MG,delivered,1,1,45
2017-01,pedreira,SP,delivered,1,1,34.9
2017-01,"pedro leopoldo",MG,delivered,4,1,160
2017-01,pelotas,RS,delivered,1,1,129.99
2017-01,penapolis,SP,delivered,4,1,180
2017-01,penedo,AL,delivered,1,1,129.99
2017-01,petropolis,RJ,delivered,1,1,49.9
2017-01,"piedade dos gerais",MG,delivered,1,1,349.99
2017-01,"pindare mirim",MA,delivered,1,1,18
2017-01,pinhais,PR,delivered,1,1,49.9
2017-01,piracicaba,SP,delivered,3,3,589.8
2017-01,piracicaba,SP,unavailable,1,1,0
2017-01,pirassununga,SP,delivered,1,1,113
2017-01,piratininga,SP,delivered,1,1,83.5
2017-01,"pires do rio",GO,delivered,1,1,119.99
2017-01,pitangueiras,SP,delivered,1,1,64.9
2017-01,"pocos de caldas",MG,delivered,11,3,846.94
2017-01,"pocos de caldas",MG,unavailable,1,1,0
2017-01,"ponta grossa",PR,delivered,1,1,97.99
2017-01,"porto alegre",RS,delivered,11,10,2529.9499999999994
2017-01,"porto ferreira",SP,delivered,1,1,11.5
2017-01,"porto nacional",TO,delivered,1,1,349.9
2017-01,"porto real",RJ,delivered,1,1,98.9
2017-01,"porto seguro",BA,delivered,2,1,139
2017-01,"porto velho",RO,delivered,2,2,498.9
2017-01,"praia grande",SP,delivered,2,1,119.8
2017-01,"presidente getulio",SC,delivered,1,1,59.5
2017-01,"presidente prudente",SP,delivered,2,2,49.85
2017-01,"primavera do leste",MT,delivered,2,1,29.8
2017-01,quarai,RS,delivered,1,1,2199.99
2017-01,recife,PE,delivered,2,2,274.8
2017-01,redentora,RS,delivered,1,1,149.9
2017-01,registro,SP,delivered,1,1,309.9
2017-01,registro,SP,unavailable,1,1,0
2017-01,resende,RJ,delivered,2,2,309.8
2017-01,"ribeira do pombal",BA,delivered,1,1,169.9
2017-01,"ribeirao das neves",MG,shipped,1,1,89.9
2017-01,"ribeirao pires",SP,delivered,1,1,179.85
2017-01,"ribeirao preto",SP,delivered,4,4,574.5999999999999
2017-01,"rio branco",AC,delivered,4,2,589.6
2017-01,"rio claro",SP,delivered,4,4,419.6
2017-01,"rio das ostras",RJ,delivered,2,2,120.79
2017-01,"rio de janeiro",RJ,delivered,51,46,5687.239999999999
2017-01,"rio de janeiro",RJ,processing,1,1,119.9
2017-01,"rio de janeiro",RJ,shipped,2,2,259.8
2017-01,"rio verde",GO,delivered,1,1,349.9
2017-01,"rolim de moura",RO,delivered,1,1,183.29
2017-01,rondonopolis,MT,delivered,4,2,426.99
2017-01,sabara,MG,delivered,2,2,146.89000000000001
2017-01,sabino,SP,delivered,1,1,199
2017-01,salto,SP,delivered,1,1,69.9
2017-01,"salto de pirapora",SP,delivered,1,1,30.97
2017-01,salvador,BA,delivered,9,6,1313.24
2017-01,"santa barbara d'oeste",SP,delivered,2,2,289.9
2017-01,"santa cecilia",SC,delivered,1,1,219.99
2017-01,"santa cecilia",SC,processing,1,1,14.99
2017-01,"santa cruz do rio pardo",SP,delivered,1,1,59.9
2017-01,"santa fe de goias",GO,delivered,1,1,1299
2017-01,"santa isabel do para",PA,delivered,1,1,299.99
2017-01,"santa luzia",MG,delivered,1,1,159.99
2017-01,"santa maria",RS,delivered,1,1,126.99
2017-01,"santa rita do sapucai",MG,delivered,2,2,179.89
2017-01,"santana da vargem",MG,delivered,1,1,30.97
2017-01,"santana de parnaiba",SP,delivered,1,1,74.99
2017-01,"santana do araguaia",PA,shipped,2,1,798
2017-01,santiago,RS,delivered,3,3,92.80000000000001
2017-01,"santo andre",SP,delivered,2,2,349.79999999999995
2017-01,"santo antonio da patrulha",RS,delivered,1,1,349.9
2017-01,"santo antonio de jesus",BA,delivered,1,1,349.9
2017-01,santos,SP,delivered,4,4,231.14000000000001
2017-01,"santos dumont",MG,delivered,1,1,69.9
